ft_attr;ftid;ptid;name
fme_feature_type;79;6984;tverrsnittsform
fme_feature_type;79;4549;høydeInnvendig
fme_feature_type;79;4548;breddeInnvendig
fme_feature_type;79;1939;typeInnløp
fme_feature_type;79;1923;harInnløpsrist
fme_feature_type;79;1940;typeUtløp
fme_feature_type;79;7996;eier
fme_feature_type;79;6983;materialtype
fme_feature_type;79;6981;bruksområde
fme_feature_type;79;5899;senterlinje
fme_feature_type;79;6980;navn
fme_feature_type;79;4556;byggeår
fme_feature_type;79;4562;spesielleProblem
fme_feature_type;79;1942;antallTininger
fme_feature_type;79;1941;tilknyttetLukkaDren
fme_feature_type;79;10223;gjennomløpForElvBekk
