ft_attr;ftid;ptid;name
fme_feature_type;775;7917;navn
fme_feature_type;775;9370;typeTrafikkontroll
fme_feature_type;775;7918;merknad
fme_feature_type;162;9522;navn
fme_feature_type;162;3594;idNummer
fme_feature_type;162;9527;kontollretning
fme_feature_type;162;9523;kameraType
fme_feature_type;162;9524;kameraInstalleringsår
fme_feature_type;162;9525;fartsmålerType
fme_feature_type;162;9526;fartsmålerInstalleringsår
fme_feature_type;162;9521;eier
fme_feature_type;162;4828;posisjon
fme_feature_type;823;9520;sted
fme_feature_type;823;9519;kontrollretning
fme_feature_type;823;9341;merknad
fme_feature_type;823;10365;etableringsår
