ptid;enid;name
1272;2955;Belysning veg/gate
1272;2963;Belysning tunnel
1272;4910;Nødbelysning, tunnel
1272;3319;Belysning bru
1272;2957;Belysning område/plass
1272;16261;Belysning ferjeleie
1272;2959;Belysning vegkryss
1272;2953;Belysning gang/sykkelveg
1272;2961;Belysning gangfelt
1272;4908;Belysning, utstyr
1272;3856;Privat område
10003;16262;Stat
10003;16263;Fylkeskommune
10003;16264;Kommune
10003;16265;Privat
10006;16267;Ja
10006;16268;Nei
1874;2965;Lysmast
1874;2969;Mindre stolpe
1874;2970;Henger i tak/kabelstige
1874;2972;Festet til vegg/bygning
1874;2988;På portal
1874;3757;Henger i vaier
2078;3765;Jordkabel
2078;3766;Line
2078;3857;EX
1555;2142;Statens vegvesen
1555;2146;Kommune
1555;3717;Lokalt e-verk
1555;2150;Privat
