ptid;enid;name;fullname
4566;5492;europaveg;Europaveg
4566;5493;riksveg;Riksveg
4566;5494;fylkesveg;Fylkesveg
4566;5495;kommunalVeg;Kommunal veg
4566;5496;privatVeg;Privat veg
4566;5497;skogsbilveg;Skogsbilveg
4567;5499;eksisterendeVeg;Eksisterende veg
4567;5505;midlertidigVeg;Midlertidig veg
4567;5502;midlertidigStatusBilveg;Midlertidig status bilveg
4567;5504;eksisterendeFerjestrekning;Eksisterende ferjestrekning
4567;12159;gangSykkelveg;Gang-/sykkelveg
4567;12983;midlertidigStatusGangSykkelveg;Midlertidig status gang-/sykkelveg
4567;13707;beredskapsveg;Beredskapsveg
4567;5501;serviceveg;Serviceveg
4567;5500;rømningstunnel;Rømningstunnel
4567;7041;anleggsveg;Anleggsveg
4567;12160;gangSykkelvegAnlegg;Gang-/sykkelveg anlegg
4567;7042;vedtattVeg;Vedtatt veg
4567;7046;vedtattFerjestrekning;Vedtatt ferjestrekning
4567;12986;vedtattGangSykkelveg;Vedtatt gang-/sykkelveg
4625;5579;norTraf;NorTraf
4625;13102;norTrafKommune;NorTraf Kommune
4625;5582;ferjedatabanken;Ferjedatabanken
4625;5581;tellingOgSkjønn;Telling og skjønn
4625;5580;skjønn;Skjønn
4625;5578;vegorama;Vegorama
6843;9030;oppskrevetFraPrimærtellepunktet;Oppskrevet fra primærtellepunktet
6843;9031;oppskrevetFraNivå1Tellepunktet;Oppskrevet fra nivå-1 tellepunktet
6843;9032;oppskrevetFraFylkesindeksen;Oppskrevet fra fylkesindeksen
6843;9033;brukersatt;Brukersatt
5067;6343;uhellMedDyrInnblandet;Uhell med dyr innblandet
5067;6344;påkjøringAvFastGjenstandPåKjørebanen;Påkjøring av fast gjenstand på kjørebanen
5067;6345;hullIVegenOL;Hull i vegen o.l.
5067;6346;ensligKjøretøyVeltetIKjørebanen;Enslig kjøretøy veltet i kjørebanen
5067;6347;påkjøringAvParkertKjøretøyPåHøyreSide;Påkjøring av parkert kjøretøy på høyre side
5067;6348;påkjøringAvParkertKjøretøyPåVenstreSide;Påkjøring av parkert kjøretøy på venstre side
5067;6349;påkjøringAvParkertKjøretøyVedForbikjøring;Påkjøring av parkert kjøretøy ved forbikjøring
5067;6350;øvrigeParkeringsuhell;Øvrige parkeringsuhell
5067;6351;uhellVedAvEllerPåstigningAvKjøretøy;Uhell ved av- eller påstigning av kjøretøy
5067;6352;uhellMedUklartForløpUhellSomIkkeFallerInnUnderNoen;Uhell med uklart forløp / uhell som ikke faller inn under noen bestemt uh.kode
