ft_attr;ftid;ptid;name
fme_feature_type;540;4623;ådtTotal
fme_feature_type;540;4624;ådtAndelLangeKjøretøy
fme_feature_type;540;4621;årGjelderFor
fme_feature_type;540;6843;oppdatertFra
fme_feature_type;540;4625;grunnlagForÅDT
fme_feature_type;540;4620;ansvarligId
fme_feature_type;540;7477;trafikkarbeidstall
fme_feature_type;540;5219;tellepunktPrimært
fme_feature_type;540;5222;tellepunktSekundært
fme_feature_type;540;5220;forholdÅDT
fme_feature_type;540;5221;forholdLange
fme_feature_type;540;5223;koplingsår
fme_feature_type;540;4622;mfaktor
fme_feature_type;540;7475;ådtStart
fme_feature_type;540;7476;ådtSlutt
fme_feature_type;540;5042;senterlinje
fme_feature_type;570;5074;alvorligsteSkadegrad
fme_feature_type;570;5055;ulykkesdato
fme_feature_type;570;5056;ulykkestidspunkt
fme_feature_type;570;5054;ukedag
fme_feature_type;570;5057;registreringsdatoForFagdata
fme_feature_type;570;5065;uhellKategori
fme_feature_type;570;5066;uhellskode
fme_feature_type;570;5069;antallEnheter
fme_feature_type;570;5070;antallDrepteIUlykken
fme_feature_type;570;5071;antallMegetAlvorligSkadet
fme_feature_type;570;5072;antallAlvorligSkadet
fme_feature_type;570;5073;antallLettereSkadet
fme_feature_type;570;5075;vegtype
fme_feature_type;570;5076;stedsforhold
fme_feature_type;570;5758;midtdeler
fme_feature_type;570;10736;forsterketVegoppmerking
fme_feature_type;570;5077;dekketype
fme_feature_type;570;5078;føreforhold
fme_feature_type;570;5079;værforhold
fme_feature_type;570;5080;lysforhold
fme_feature_type;570;5081;felttype
fme_feature_type;570;5082;antallKjørefelt
fme_feature_type;570;5083;bebyggelse
fme_feature_type;570;5084;vegbredde
fme_feature_type;570;5085;fartsgrense
fme_feature_type;570;5086;temperatur
fme_feature_type;570;8796;kommunenr
fme_feature_type;570;5163;historiskVegstatus
fme_feature_type;570;5115;historiskVegkategori
fme_feature_type;570;5116;historiskVegnummer
fme_feature_type;570;5117;historiskHp
fme_feature_type;570;5118;historiskKilometerverdi
fme_feature_type;570;5119;vegnavn
fme_feature_type;570;5120;stedfestingensNøyaktighet
fme_feature_type;570;5123;posisjon
