ptid;enid;name
4625;5579;NorTraf
4625;13102;NorTraf Kommune
4625;5582;Ferjedatabanken
4625;5581;Telling og skjønn
4625;5580;Skjønn
4625;5578;Vegorama
6843;9030;Oppskrevet fra primærtellepunktet
6843;9031;Oppskrevet fra nivå-1 tellepunktet
6843;9032;Oppskrevet fra fylkesindeksen
6843;9033;Brukersatt
5067;6343;Uhell med dyr innblandet
5067;6344;Påkjøring av fast gjenstand på kjørebanen
5067;6345;Hull i vegen o.l.
5067;6346;Enslig kjøretøy veltet i kjørebanen
5067;6347;Påkjøring av parkert kjøretøy på høyre side
5067;6348;Påkjøring av parkert kjøretøy på venstre side
5067;6349;Påkjøring av parkert kjøretøy ved forbikjøring
5067;6350;Øvrige parkeringsuhell
5067;6351;Uhell ved av- eller påstigning av kjøretøy
5067;6352;Uhell med uklart forløp / uhell som ikke faller inn under noen bestemt uh.kode
5067;6353;Forbikjøring
5067;6354;Skifte av felt til venstre
5067;6355;Skifte av felt til høyre
5067;6356;Kjøring i parallelle kjørefelter forøvrig
5067;6357;Påkjøring bakfra
5067;6358;Påkjøring bakfra etter oppstart fra stanset eller parkert stilling
5067;6359;Påkjøring av forankjørende ved skifte av felt til venstre
5067;6360;Påkjøring av forankjørende ved skifte av felt til høyre
5067;6361;Uhell med uklart forløp mellom kjøretøy med samme kjøreretning
5067;6362;Møting på rett vegstrekning
5067;6363;Møting i kurve
5067;6364;Møting under forbikjøring på rett vegstrekning
5067;6365;Møting under forbikjøring i høyrekurve
5067;6366;Møting under forbikjøring i venstrekurve
5067;6367;Møting under forbikjøring av stanset eller parkert kjøretøy
5067;6368;Møting etter oppstart fra stanset eller parkert stilling
5067;6369;Uhell med uklart forløp ved møting
5067;6370;Påkjøring bakfra ved høyresving
5067;6371;Påkjøring forøvrig ved høyresving
5067;6372;Påkjøring bakfra ved venstresving
5067;6373;Påkjøring forøvrig ved venstresving
5067;6374;Påkjøring ved vending foran kjørende i samme retning
5067;6375;Påkjøring av kjørende fra fortau eller G/S-veg, ved høyresving
5067;6376;Påkjøring av kjørende fra fortau eller G/S-veg, ved venstresving
5067;6377;Uhell med uklart forløp ved avsvinging fra samme kjøreretning
5067;6378;Avsvingning til venstre foran kjørende i motsatt retning
5067;6379;Avsvinging i samme retning
