ptid;enid;name
8838;11784;Rørledning til resipient
8838;11785;Avløp til offentlig system
1269;2936;Drenering
1269;2937;Inspeksjonskum
1269;2939;Inntak/utløp stikkrenne
1269;2938;Spillvannskum
1269;2940;Fallkum
1269;2943;Vannkum
1269;2942;Pumpekum
4594;5531;Ja
4594;5532;Nei
5816;8211;Stat
5816;10703;Fylkeskommune
5816;8237;Kommune
5816;8263;Privat
2294;4176;Ja
2294;4177;Nei
10227;16738;Ja
10227;16706;Ja, plast
10227;16705;Ja, betong
10227;16707;Ja, metall, stål
10227;16708;Ja, tre
10227;16739;Nei
2290;4148;Tett lokk, betong
2290;5341;Betonglokk m liten rist
2290;4149;Tett lokk, støpjern
2290;4151;Kuppelrist, flat
2290;4152;Kuppelrist, lav
2290;4153;Kuppelrist, høy
2290;4158;Slukrist, i gateplan
2290;4155;Slukrist, vertikal
2290;12867;Skrårist
2290;4156;Støpjernslokk m halv rist
2290;5542;Støpjernslokk m hel rist
2290;4157;Åpen
2290;5541;Tett lokk, tre
1411;2211;Betong
1411;2272;Plast
1411;2255;Naturstein
1411;2377;Teglstein, murstein
1411;5540;Betongstein
2121;3888;< 1år
2121;3872;1-2 år
2121;3875;> 2år
10228;16709;I grøft
10228;16710;I vegbane
10228;16711;På vegskulder
10228;16712;I g/s-veg
10228;16713;I trafikkdeler
1946;3052;Stige
1946;3053;Innstøpte trinn
1141;2944;Standard kum
1141;4144;Hjelpesluk
1141;4146;Standard kum m sandfang
1141;5742;Firkantkum
1141;4145;Gategutt
1141;2945;Spesialkum
1141;2946;Spesialkum, prefabrikkert
1141;2947;Spesialkum plasstøpt
1141;2948;Spesialkum, murt
1141;2949;Spesialkum, infiltreringskum
1141;5474;Kum sprengt i fjell
5804;8199;Statens vegvesen
5804;8225;Kommune
5804;8251;Privat
1138;2287;Løsmasse
1138;2326;Berg
1138;3284;Kombinert løsmasse og berg
1138;13793;Sprengt stein
9760;15884;Ja
9760;15885;Nei
1268;5450;Drensgrøft, dyp
1268;5451;Drensgrøft, grunn
1268;2924;Pukkstreng
1268;11581;Avløpsgrøft
1831;3523;Ja
1831;3561;Nei
6981;9114;Vann
6981;9115;Landbruk
6981;15880;Voll, vanngjennomløp
6981;9116;Biologisk mangfold
7996;10262;Stat
7996;10724;Fylkeskommune
7996;10326;Kommune
7996;10390;Privat
6982;9117;Bunnplate
6982;9118;Sålefundament
6982;9119;Fjellfot
6982;9120;Grus
6982;9121;Pukk
6982;9122;Leire
6982;9123;Stedlige masser
10223;16700;Ja
10223;16701;Nei
1923;3531;Ja
1923;3569;Nei
6983;9125;Betong
6983;9126;Stål
6983;9127;Plast
6983;9128;Naturstein
6983;9124;Tre
6983;9129;Eternitt
6985;9135;Prefabrikkert
6985;9137;Plassprodusert
2049;3732;1
2049;3741;2
2049;3748;3
2049;3018;4
2049;3779;5
2049;3782;6
2049;3933;7
2049;3934;8
2049;3935;9
2049;3936;10
2049;3937;11
2049;3938;12
4562;5470;Masser, innløp
4562;5471;Masser, utløp
4562;5472;Vegetasjonstetting, innløp
4562;5473;Vegetasjonstetting, utløp
1941;3533;Ja
1941;3571;Nei
6984;9130;Sirkulær
6984;9131;Rektangulær
6984;9132;Flatbunnet med hvelv
6984;9133;Ellipseform
1939;2925;Kum over stikkrenne
1939;11744;Åpent i grøft
1939;16699;Åpent med frontmur
1939;16761;Åpent i grøft med støtteskjold
1940;2927;Kum
1940;2928;I skråning/terreng
1940;2929;I bekk/elv
1940;11655;Åpen grøft
1832;3524;Ja
1832;3562;Nei
8060;10454;Statens vegvesen
8060;10532;Kommune
8060;10610;Privat
2123;2465;Rett
2123;2381;Skrå
