ptid;enid;name
1272;2955;belysningVegGate
1272;2963;belysningTunnel
1272;4910;nødbelysningTunnel
1272;3319;belysningBru
1272;2957;belysningOmrådePlass
1272;16261;belysningFerjeleie
1272;2959;belysningVegkryss
1272;2953;belysningGangSykkelveg
1272;2961;belysningGangfelt
1272;17318;belysningUndergang
1272;4908;belysningUtstyr
1272;3856;privatOmråde
10003;16262;stat
10003;16263;fylkeskommune
10003;16264;kommune
10003;16265;privat
10006;16267;ja
10006;16268;nei
1874;2965;lysmast
1874;2969;mindreStolpe
1874;2970;hengerITakKabelstige
1874;2972;festetTilVeggBygning
1874;2988;påPortal
1874;3757;hengerIVaier
2078;3765;jordkabel
2078;3766;line
2078;3857;eX
1555;2142;statensVegvesen
1555;2146;kommune
1555;3717;lokaltEVerk
1555;2150;privat
1271;2954;belysningVegGate
1271;2956;belysningOmrådePlass
1271;2960;belysningGangfelt
1271;2962;belysningTunnel
1271;2952;belysningGangSykkelveg
1271;3318;belysningBru
1271;16258;belysningFerjeleie
1271;3855;privatOmråde
10001;16259;ja
10001;16260;nei
5810;8205;stat
5810;10697;fylkeskommune
5810;8231;kommune
5810;8257;privat
3760;4719;ja
3760;4720;nei
8404;11342;manuell
8404;11343;fotocelle
8404;11344;ur
8404;11345;signal
8404;11346;kontaktor
8404;11347;radiotenner
1144;3761;belPktEnSideAvVeg
1144;3762;belPktBeggeSiderAvVeg
1144;3764;belPktSenter
1144;3763;belPktSenter2Armet
1554;2141;statensVegvesen
1554;2145;kommune
1554;3716;lokaltEVerk
1554;2149;privat
2361;4254;bilde
2361;4255;tegning
2361;10076;dokument
2361;10077;video
5644;7935;belysningIDagen
5644;7937;bygning
5644;16305;skilting
5644;16307;trafikkreguleringOvervåking
5644;7936;tunnel
5644;16306;pumper
5644;16309;vifter
5644;16308;utsmykkingBroerEtc
10021;16312;nEKFEB88
10021;16313;nEKFEB91
10021;16311;nEKFEL1998
10021;16310;nEKFEF2006
10021;16314;annet
10022;16315;nEK400
10022;16316;nEK4002006
10022;16317;nEK4002010
10022;16318;nEK440
10022;16319;nEK445
10022;16320;nEKIEC619361
10022;16321;nEKEN501101
10022;16322;tavlenorm
10022;16323;annet
10026;16327;stat
10026;16324;fylkeskommune
10026;16325;kommune
10026;16326;privat
10028;16328;ja
10028;16329;nei
10031;16335;ja
10031;16336;nei
10032;16340;spyd
10032;16341;sammenkopletMedAnnetNett
10032;16339;cuWiret
10032;16338;antallKontrollMålepunkt
10032;16337;annet
10033;16342;fellesForAlleKurser
10033;16343;enForHverKurs
10033;16344;hverMast
10033;16345;kombinasjon
10034;16347;ja
10034;16346;nei
10035;16348;direktemåling
10035;16349;trafomåling
10035;16350;summasjonsmåling
10029;16330;iT
10029;16331;tT
10029;16332;tNC
10029;16333;tNS
10029;16334;tNCS
10038;16351;12
10038;16353;24
10038;16352;230
10038;16354;400
10038;16355;230400
10038;16717;690
8099;10493;statensVegvesen
8099;10571;kommune
8099;10649;privat
1274;3024;elektrisitetHøyspent
1274;3023;elektrisitetLavspent
1274;3022;signalkabel
1274;3026;jordleder
1274;15950;eKomFiber
1274;3021;eKomKobber
5811;8206;stat
5811;10698;fylkeskommune
5811;8232;kommune
5811;8258;privat
2023;3772;trekkrørKanal
2023;3774;grøft
2023;3775;kabelbroStige
2023;3773;luftspenn
2023;15883;vann
2023;14040;kulvert
2023;14042;slisse
2023;14039;borehull
2023;14041;kabelbunt
1148;14503;2Par022YFSK
1148;14505;2Par05YFSK
1148;14471;2Par06PTHF1x4B1150
1148;14470;2Par06PTHF1x4B2350
1148;14476;2Par06PTSHF1x4B1150
1148;14475;2Par06PTSHF1x4B2350
1148;14467;2Par06PTSKHF
1148;14501;2Par08BUSKABELEIBLSZH
1148;14502;2Par08BUSKABELEIBLSZH
1148;14504;4Par022YFSK
1148;14506;4Par05YFSK
1148;14472;4Par06PTHFB2150
1148;14458;4Par06PTHFE4750
1148;14477;4Par06PTSHFB2130
1148;14462;4Par06PTSHFE4750
1148;14468;4Par06PTSKHF
1148;14473;6Par06PTHFB2130
1148;14459;6Par06PTHFE4500
1148;14478;6Par06PTSHFB2130
1148;14463;6Par06PTSHFE4500
1148;14474;10Par06PTHFB290
1148;14460;10Par06PTHFE4350
1148;14479;10Par06PTSHFB290
