ptid;enid;name;fullname
1272;2955;belysningVegGate;Belysning veg/gate
1272;2963;belysningTunnel;Belysning tunnel
1272;4910;nødbelysningTunnel;Nødbelysning, tunnel
1272;3319;belysningBru;Belysning bru
1272;2957;belysningOmrådePlass;Belysning område/plass
1272;16261;belysningFerjeleie;Belysning ferjeleie
1272;2959;belysningVegkryss;Belysning vegkryss
1272;2953;belysningGangSykkelveg;Belysning gang/sykkelveg
1272;2961;belysningGangfelt;Belysning gangfelt
1272;17318;belysningUndergang;Belysning, undergang
1272;4908;belysningUtstyr;Belysning, utstyr
1272;3856;privatOmråde;Privat område
10003;16262;stat;Stat
10003;16263;fylkeskommune;Fylkeskommune
10003;16264;kommune;Kommune
10003;16265;privat;Privat
10003;17632;uavklart;Uavklart
10006;16267;ja;Ja
10006;16268;nei;Nei
1874;2965;lysmast;Lysmast
1874;2969;mindreStolpe;Mindre stolpe
1874;2970;hengerITakKabelstige;Henger i tak/kabelstige
1874;2972;festetTilVeggBygning;Festet til vegg/bygning
1874;2988;påPortal;På portal
1874;3757;hengerIVaier;Henger i vaier
2078;3765;jordkabel;Jordkabel
2078;3766;line;Line
2078;3857;eX;EX
1555;2142;statensVegvesen;Statens vegvesen
1555;2146;kommune;Kommune
1555;3717;lokaltEVerk;Lokalt e-verk
1555;2150;privat;Privat
1555;17672;uavklart;Uavklart
1271;2954;belysningVegGate;Belysning veg/gate
1271;2956;belysningOmrådePlass;Belysning område/plass
1271;2960;belysningGangfelt;Belysning gangfelt
1271;2962;belysningTunnel;Belysning tunnel
1271;2952;belysningGangSykkelveg;Belysning gang/sykkelveg
1271;3318;belysningBru;Belysning bru
1271;16258;belysningFerjeleie;Belysning ferjeleie
1271;3855;privatOmråde;Privat område
10001;16259;ja;Ja
10001;16260;nei;Nei
5810;8205;stat;Stat
5810;10697;fylkeskommune;Fylkeskommune
5810;8231;kommune;Kommune
5810;8257;privat;Privat
5810;17596;uavklart;Uavklart
3760;4719;ja;Ja
3760;4720;nei;Nei
8404;11342;manuell;Manuell
8404;11343;fotocelle;Fotocelle
8404;11344;ur;Ur
8404;11345;signal;Signal
8404;11346;kontaktor;Kontaktor
8404;11347;radiotenner;Radiotenner
8404;17568;slave;Slave
1144;3761;belPktEnSideAvVeg;Bel.pkt en side av veg
1144;3762;belPktBeggeSiderAvVeg;Bel.pkt. begge sider av veg
1144;3764;belPktSenter;Bel.pkt, senter
1144;3763;belPktSenter2Armet;Bel.pkt, senter, 2-armet
1554;2141;statensVegvesen;Statens vegvesen
1554;2145;kommune;Kommune
1554;3716;lokaltEVerk;Lokalt e-verk
1554;2149;privat;Privat
1554;17671;uavklart;Uavklart
2361;4254;bilde;Bilde
2361;4255;tegning;Tegning
2361;10076;dokument;Dokument
2361;10077;video;Video
5644;7935;belysningIDagen;Belysning i dagen
5644;7937;bygning;Bygning
5644;16305;skilting;Skilting
5644;16307;trafikkreguleringOvervåking;Trafikkregulering/overvåking
5644;7936;tunnel;Tunnel
5644;16306;pumper;Pumper
5644;16309;vifter;Vifter
5644;16308;utsmykkingBroerEtc;Utsmykking (broer etc)
10021;16312;nEKFEB88;NEK FEB 88
10021;16313;nEKFEB91;NEK FEB 91
10021;16311;nEKFEL1998;NEK FEL 1998
10021;16310;nEKFEF2006;NEK FEF 2006
10021;16314;annet;Annet
10022;16315;nEK400;NEK 400
