ptid;enid;name;fullname
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningVegGate;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningTunnel;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;nødbelysningTunnel;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningBru;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningOmrådePlass;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningFerjeleie;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningVegkryss;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningGangSykkelveg;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningGangfelt;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningUndergang;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;belysningUtstyr;
NVDB_BRUKSOMRÅDEBELYSNINGSPUNKT;;privatOmråde;
NVDB_EIERBELYSNINGSPUNKT;;stat;
NVDB_EIERBELYSNINGSPUNKT;;fylkeskommune;
NVDB_EIERBELYSNINGSPUNKT;;kommune;
NVDB_EIERBELYSNINGSPUNKT;;privat;
NVDB_EIERBELYSNINGSPUNKT;;uavklart;
NVDB_OVERBELASTNINGSVERN;;ja;
NVDB_OVERBELASTNINGSVERN;;nei;
NVDB_PLASSERING;;lysmast;
NVDB_PLASSERING;;mindreStolpe;
NVDB_PLASSERING;;hengerITakKabelstige;
NVDB_PLASSERING;;festetTilVeggBygning;
NVDB_PLASSERING;;påPortal;
NVDB_PLASSERING;;hengerIVaier;
NVDB_STRØMTILFØRSELKATEGORI;;jordkabel;
NVDB_STRØMTILFØRSELKATEGORI;;line;
NVDB_STRØMTILFØRSELKATEGORI;;eX;
NVDB_VEDLIKEHOLDSANSVARLIGBELYSNINGSPUNKT;;statensVegvesen;
NVDB_VEDLIKEHOLDSANSVARLIGBELYSNINGSPUNKT;;kommune;
NVDB_VEDLIKEHOLDSANSVARLIGBELYSNINGSPUNKT;;lokaltEVerk;
NVDB_VEDLIKEHOLDSANSVARLIGBELYSNINGSPUNKT;;privat;
NVDB_VEDLIKEHOLDSANSVARLIGBELYSNINGSPUNKT;;uavklart;
NVDB_BRUKSOMRÅDEBELYSNINGSSTREKNING;;belysningVegGate;
NVDB_BRUKSOMRÅDEBELYSNINGSSTREKNING;;belysningOmrådePlass;
NVDB_BRUKSOMRÅDEBELYSNINGSSTREKNING;;belysningGangfelt;
NVDB_BRUKSOMRÅDEBELYSNINGSSTREKNING;;belysningTunnel;
NVDB_BRUKSOMRÅDEBELYSNINGSSTREKNING;;belysningGangSykkelveg;
NVDB_BRUKSOMRÅDEBELYSNINGSSTREKNING;;belysningBru;
NVDB_BRUKSOMRÅDEBELYSNINGSSTREKNING;;belysningFerjeleie;
NVDB_BRUKSOMRÅDEBELYSNINGSSTREKNING;;privatOmråde;
NVDB_DIMMING;;ja;
NVDB_DIMMING;;nei;
NVDB_EIERBELYSNINGSSTREKNING;;stat;
NVDB_EIERBELYSNINGSSTREKNING;;fylkeskommune;
NVDB_EIERBELYSNINGSSTREKNING;;kommune;
NVDB_EIERBELYSNINGSSTREKNING;;privat;
NVDB_EIERBELYSNINGSSTREKNING;;uavklart;
NVDB_FJERNSTYRING;;ja;
NVDB_FJERNSTYRING;;nei;
NVDB_TENNINGSSYSTEM;;manuell;
NVDB_TENNINGSSYSTEM;;fotocelle;
NVDB_TENNINGSSYSTEM;;ur;
NVDB_TENNINGSSYSTEM;;signal;
NVDB_TENNINGSSYSTEM;;kontaktor;
NVDB_TENNINGSSYSTEM;;radiotenner;
NVDB_TENNINGSSYSTEM;;slave;
NVDB_TYPEBELYSNINGSSTREKNING;;belPktEnSideAvVeg;
NVDB_TYPEBELYSNINGSSTREKNING;;belPktBeggeSiderAvVeg;
NVDB_TYPEBELYSNINGSSTREKNING;;belPktSenter;
NVDB_TYPEBELYSNINGSSTREKNING;;belPktSenter2Armet;
NVDB_VEDLIKEHOLDSANSVARLIGBELYSNINGSSTREKNING;;statensVegvesen;
NVDB_VEDLIKEHOLDSANSVARLIGBELYSNINGSSTREKNING;;kommune;
