ft_attr;ftid;ptid;name
fme_feature_type;87;1272;bruksområde
fme_feature_type;87;2198;antall
fme_feature_type;87;1874;plassering
fme_feature_type;87;1883;avstandFraVegkant
fme_feature_type;87;2078;strømtilførselKategori
fme_feature_type;87;8744;strømtilførselTypeKabel
fme_feature_type;87;10006;overbelastningsvern
fme_feature_type;87;8745;fellesføringMedAnnenEtat
fme_feature_type;87;10005;fellesføringLeietaker
fme_feature_type;87;1488;tilleggsinformasjon
fme_feature_type;87;10852;FKB_ID
fme_feature_type;87;10003;eier
fme_feature_type;87;10004;eierNavn
fme_feature_type;87;1555;vedlikeholdsansvarlig
fme_feature_type;87;4787;posisjon
fme_feature_type;86;1271;bruksområde
fme_feature_type;86;1144;type
fme_feature_type;86;8396;navnPåStrekning
fme_feature_type;86;8399;byggeår
fme_feature_type;86;8404;tenningssystem
fme_feature_type;86;10001;dimming
fme_feature_type;86;3760;fjernstyring
fme_feature_type;86;1714;avstandInnbyrdes
fme_feature_type;86;8740;luminansnivå
fme_feature_type;86;5810;eier
fme_feature_type;86;8397;eierNavn
fme_feature_type;86;1554;vedlikeholdsansvarlig
fme_feature_type;86;4786;senterlinje
fme_feature_type;446;2358;dato
fme_feature_type;446;2361;type
fme_feature_type;446;7900;vedlegg
fme_feature_type;446;7901;mikrobilde
fme_feature_type;446;2356;filnavn
fme_feature_type;446;10804;hyperlink
fme_feature_type;446;2357;tekst
fme_feature_type;446;2359;ansvarlig
fme_feature_type;446;2360;arkiveringskode
fme_feature_type;446;7903;merknad
fme_feature_type;446;4964;posisjon
fme_feature_type;461;10075;anleggsnummer
fme_feature_type;461;5644;bruksområde
fme_feature_type;461;5640;kundenummer
fme_feature_type;461;5641;målernummer
fme_feature_type;461;5642;målepunktID
fme_feature_type;461;10026;eier
fme_feature_type;461;10028;fjernavlesing
fme_feature_type;461;10031;inngårINødsystemet
fme_feature_type;461;10032;jordelektrode
fme_feature_type;461;10033;jordfeilbryter
fme_feature_type;461;10034;jordfeilvarsling
fme_feature_type;461;10035;målingType
fme_feature_type;461;5639;nettselskap
fme_feature_type;461;10029;nettsystem
fme_feature_type;461;10039;tilleggsinformasjon
fme_feature_type;461;10022;byggetEtterNorm
fme_feature_type;461;7908;plasseringMåler
fme_feature_type;461;10024;driftsmerking
fme_feature_type;461;10038;spenning
fme_feature_type;461;10021;byggetEtterForskrift
fme_feature_type;461;5646;merknad
fme_feature_type;461;10023;driftsattår
fme_feature_type;461;10025;effekt
fme_feature_type;461;10027;eierNavn
fme_feature_type;461;10030;integrertMed
fme_feature_type;461;8099;vedlikeholdsansvarlig
fme_feature_type;461;4978;posisjon
fme_feature_type;92;1274;bruksområde
fme_feature_type;92;1148;typebetegnelse
fme_feature_type;92;2202;antall
fme_feature_type;92;9744;driftsmerking
fme_feature_type;92;1327;lengde
fme_feature_type;92;9746;lengdeKart
fme_feature_type;92;1293;farge
fme_feature_type;92;1531;produsentnavn
fme_feature_type;92;2023;framføringsveg
fme_feature_type;92;4076;driftsattår
fme_feature_type;92;9743;arkivnummer
fme_feature_type;92;9748;tilleggsinformasjon
fme_feature_type;92;5811;eier
fme_feature_type;92;9745;eierNavn
fme_feature_type;92;8062;vedlikeholdsansvarlig
fme_feature_type;92;4792;senterlinje
fme_feature_type;183;1191;type
fme_feature_type;183;9755;plassering
fme_feature_type;183;1339;lengde
fme_feature_type;183;1697;bredde
fme_feature_type;183;4063;installeringsår
fme_feature_type;183;9754;materiale
fme_feature_type;183;9753;driftsmerking
fme_feature_type;183;9751;produksjonsår
fme_feature_type;183;3656;produsentnavn
fme_feature_type;183;9756;produktnavn
fme_feature_type;183;8008;eier
fme_feature_type;183;9752;eierNavn
fme_feature_type;183;8076;vedlikeholdsansvarlig
fme_feature_type;183;4839;senterlinje
fme_feature_type;843;9577;dybde
fme_feature_type;843;9576;grunnforhold
fme_feature_type;843;10878;tilleggsinformasjon
fme_feature_type;843;10314;byggeår
fme_feature_type;843;10879;eier
fme_feature_type;843;9578;senterlinje
fme_feature_type;297;1086;beskrivelse
fme_feature_type;297;4894;posisjon
fme_feature_type;78;1268;type
fme_feature_type;78;1138;grunnforhold
fme_feature_type;78;10673;tilleggsinformasjon
fme_feature_type;78;1657;dybde
fme_feature_type;78;1831;varmekabler
fme_feature_type;78;9760;kabler
fme_feature_type;78;4779;senterlinje
fme_feature_type;78;10323;byggeår
fme_feature_type;78;10880;eier
fme_feature_type;88;2077;lyskildeType
fme_feature_type;88;10805;effekt
fme_feature_type;88;10008;driftsmerking
fme_feature_type;88;10007;driftsattår
fme_feature_type;88;2054;høydeOverVeg
fme_feature_type;88;1955;antallLyskilderPerArmatur
fme_feature_type;88;2199;antallArmaturerIBelysningspkt
