ft_attr;ftid;ptid;name
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_BRUKSOMRÅDE;bruksområde
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_ANTALL;antall
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_PLASSERING;plassering
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_AVSTANDFRAVEGKANT;avstandFraVegkant
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_STRØMTILFØRSELKATEGORI;strømtilførselKategori
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_STRØMTILFØRSELTYPEKABEL;strømtilførselTypeKabel
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_OVERBELASTNINGSVERN;overbelastningsvern
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_FELLESFØRINGMEDANNENETAT;fellesføringMedAnnenEtat
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_FELLESFØRINGLEIETAKER;fellesføringLeietaker
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_TILLEGGSINFORMASJON;tilleggsinformasjon
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_EIER;eier
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_EIERNAVN;eierNavn
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_VEDLIKEHOLDSANSVARLIG;vedlikeholdsansvarlig
fme_feature_type;NVDB_BELYSNINGSPUNKT;NVDB_GEOMETRIPUNKT;posisjon
fme_feature_type;NVDB_BELYSNINGSPUNKT;VKJORFELT;felt
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_BRUKSOMRÅDE;bruksområde
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_TYPE;type
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_NAVNPÅSTREKNING;navnPåStrekning
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_BYGGEÅR;byggeår
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_TENNINGSSYSTEM;tenningssystem
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_DIMMING;dimming
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_FJERNSTYRING;fjernstyring
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_AVSTANDINNBYRDES;avstandInnbyrdes
fme_feature_type;NVDB_BELYSNINGSSTREKNING;NVDB_LUMINANSNIVÅ;luminansnivå
