ft_attr;ftid;ptid;name
fme_feature_type;446;2358;dato
fme_feature_type;446;2361;type
fme_feature_type;446;7900;vedlegg
fme_feature_type;446;7901;mikrobilde
fme_feature_type;446;2356;filnavn
fme_feature_type;446;2357;tekst
fme_feature_type;446;2359;ansvarlig
fme_feature_type;446;2360;arkiveringskode
fme_feature_type;446;7903;merknad
fme_feature_type;446;4964;posisjon
fme_feature_type;872;10229;lokalitetsnavn
fme_feature_type;872;10230;type
fme_feature_type;872;10237;beskrivelse
fme_feature_type;872;10232;regulertFor
fme_feature_type;872;10231;flerbrukspassasje
fme_feature_type;872;10233;formål
fme_feature_type;872;10235;bredde
fme_feature_type;872;10234;lengde
fme_feature_type;872;10236;høydeMin
fme_feature_type;872;10246;høydeMaks
fme_feature_type;872;10238;åpenhet
fme_feature_type;872;10239;brutusId
fme_feature_type;872;10289;byggeår
fme_feature_type;872;10240;posisjon
fme_feature_type;872;10241;område
fme_feature_type;297;1086;beskrivelse
fme_feature_type;297;4894;posisjon
fme_feature_type;83;1141;type
fme_feature_type;83;1269;bruksområde
fme_feature_type;83;1411;materialtype
fme_feature_type;83;2290;lokkRistType
fme_feature_type;83;1727;diameter
fme_feature_type;83;2289;diameterÅpning
fme_feature_type;83;1586;dybde
fme_feature_type;83;2079;dybdeTilUtløp
fme_feature_type;83;5797;bredde1Firkantkum
fme_feature_type;83;5798;bredde2Firkantkum
fme_feature_type;83;2388;avstandFraVegkant
fme_feature_type;83;1946;stige
fme_feature_type;83;2294;harFlyteramme
fme_feature_type;83;10228;plassering
fme_feature_type;83;1949;antallRørInn
fme_feature_type;83;8838;avløp
fme_feature_type;83;4594;dykker
fme_feature_type;83;1947;antallHjelpesluker
fme_feature_type;83;10227;kumskjerm
fme_feature_type;83;7065;byggeår
fme_feature_type;83;10470;driftsmerking
fme_feature_type;83;1525;produktinformasjon
fme_feature_type;83;5816;eier
fme_feature_type;83;5804;vedlikeholdsansvarlig
fme_feature_type;83;2121;oppslammingstid
fme_feature_type;83;4784;posisjon
fme_feature_type;79;6981;bruksområde
fme_feature_type;79;6980;navn
fme_feature_type;79;4556;byggeår
fme_feature_type;79;3111;produktinformasjon
fme_feature_type;79;6983;materialtype
fme_feature_type;79;6985;prefabrikkert
fme_feature_type;79;6984;tverrsnittsform
fme_feature_type;79;2049;retning
fme_feature_type;79;2123;vinkel
fme_feature_type;79;1941;tilknyttetLukkaDren
fme_feature_type;79;10223;gjennomløpForElvBekk
fme_feature_type;79;1939;typeInnløp
fme_feature_type;79;1940;typeUtløp
fme_feature_type;79;1923;harInnløpsrist
fme_feature_type;79;3113;diameterInnvendig
fme_feature_type;79;4548;breddeInnvendig
fme_feature_type;79;4549;høydeInnvendig
fme_feature_type;79;1323;lengde
fme_feature_type;79;3112;helningFall
fme_feature_type;79;10224;overfyllingInnløp
fme_feature_type;79;10225;overfyllingUtløp
fme_feature_type;79;3115;tykkelseOverfylling
fme_feature_type;79;10481;driftsmerking
fme_feature_type;79;6982;fundamentering
fme_feature_type;79;1832;varmekabler
fme_feature_type;79;1942;antallTininger
fme_feature_type;79;4562;spesielleProblem
fme_feature_type;79;7996;eier
fme_feature_type;79;8060;vedlikeholdsansvarlig
fme_feature_type;79;5902;område
fme_feature_type;79;4780;posisjon
fme_feature_type;79;5899;senterlinje
fme_feature_type;794;8831;beskrivelse
fme_feature_type;762;7592;etterslep
fme_feature_type;762;7591;datoKontrollert
fme_feature_type;762;7593;tilleggsinformasjon
fme_feature_type;762;7598;posisjon
fme_feature_type;761;7596;tilstand
fme_feature_type;761;7590;skadetype
fme_feature_type;761;8777;datoKontrollert
fme_feature_type;761;7594;tiltak
fme_feature_type;761;7595;tiltakNår
fme_feature_type;761;7859;tilleggsinformasjon
fme_feature_type;761;9834;testTilstandsindeks
fme_feature_type;761;7597;posisjon
fme_feature_type;878;10613;tGByggefeilHøydeVinkel
fme_feature_type;878;10648;merknadByggefeilHøydeVinkel
fme_feature_type;878;10616;tGByggefeilBeliggenhet
fme_feature_type;878;10646;merknadByggefeilBeliggenhet
fme_feature_type;878;10620;tGSkade
fme_feature_type;878;10657;merknadSkade
fme_feature_type;878;10623;tGSetningDeformasjonMangelfulltLengdefall
fme_feature_type;878;10667;merknadSetningDeformMangelfulltLengdefall
fme_feature_type;878;10627;tGSkadePåInnOgUtløpskonstruksjon
fme_feature_type;878;10661;merknadSkadePåInnOgUtløpskonstruksjon
fme_feature_type;878;10630;tGSkadePåErosjonssikringVedInnOgUtløp
fme_feature_type;878;10660;merknadSkadePåErosjonssikringVedInnOgUtløp
fme_feature_type;878;10631;tGKapasitet
fme_feature_type;878;10653;merknadKapasitet
fme_feature_type;878;10635;tGSamletVurderingTeoretiskAutomatikk
fme_feature_type;878;10636;tGSamletVurderingPraktiskManuell
fme_feature_type;878;10525;merknadSamletVurdering
fme_feature_type;878;10638;driftstilstand
fme_feature_type;878;10697;merknadDriftstilstand
fme_feature_type;878;10644;vannføring
fme_feature_type;878;10641;typeRegistrering
fme_feature_type;878;10529;registreringsdato
fme_feature_type;878;10530;signatur
fme_feature_type;878;10532;posisjon
fme_feature_type;878;10531;senterlinje
