ptid;enid;name;fullname
2361;4254;bilde;Bilde
2361;4255;tegning;Tegning
2361;10076;dokument;Dokument
2361;10077;video;Video
8838;11784;rørledningTilResipient;Rørledning til resipient
8838;11785;avløpTilOffentligSystem;Avløp til offentlig system
1269;2936;drenering;Drenering
1269;2937;inspeksjonskum;Inspeksjonskum
1269;2939;inntakUtløpStikkrenne;Inntak/utløp stikkrenne
1269;2938;spillvannskum;Spillvannskum
1269;2940;fallkum;Fallkum
1269;2943;vannkum;Vannkum
1269;2942;pumpekum;Pumpekum
1269;17534;brannkum;Brannkum
4594;5531;ja;Ja
4594;5532;nei;Nei
5816;8211;stat;Stat
5816;10703;fylkeskommune;Fylkeskommune
5816;8237;kommune;Kommune
5816;8263;privat;Privat
2294;4176;ja;Ja
2294;4177;nei;Nei
10227;16738;ja;Ja
10227;16706;jaPlast;Ja, plast
10227;16705;jaBetong;Ja, betong
10227;16707;jaMetallStål;Ja, metall, stål
10227;16708;jaTre;Ja, tre
10227;16739;nei;Nei
2290;4148;tettLokkBetong;Tett lokk, betong
2290;5341;betonglokkMLitenRist;Betonglokk m liten rist
2290;4149;tettLokkStøpjern;Tett lokk, støpjern
2290;4151;kuppelristFlat;Kuppelrist, flat
2290;4152;kuppelristLav;Kuppelrist, lav
2290;4153;kuppelristHøy;Kuppelrist, høy
2290;4158;slukristIGateplan;Slukrist, i gateplan
2290;4155;slukristVertikal;Slukrist, vertikal
2290;12867;skrårist;Skrårist
2290;4156;støpjernslokkMHalvRist;Støpjernslokk m halv rist
2290;5542;støpjernslokkMHelRist;Støpjernslokk m hel rist
2290;4157;åpen;Åpen
2290;5541;tettLokkTre;Tett lokk, tre
1411;2211;betong;Betong
1411;2272;plast;Plast
1411;2255;naturstein;Naturstein
1411;2377;teglsteinMurstein;Teglstein, murstein
1411;5540;betongstein;Betongstein
2121;3888;1år;< 1år
2121;3872;12År;1-2 år
2121;3875;2år;> 2år
10228;16709;iGrøft;I grøft
10228;16710;iVegbane;I vegbane
10228;16711;påVegskulder;På vegskulder
10228;16712;iGSVeg;I g/s-veg
10228;16713;iTrafikkdeler;I trafikkdeler
1946;3052;stige;Stige
1946;3053;innstøpteTrinn;Innstøpte trinn
1141;2944;standardKum;Standard kum
1141;4144;hjelpesluk;Hjelpesluk
1141;4146;standardKumMSandfang;Standard kum m sandfang
1141;5742;firkantkum;Firkantkum
1141;4145;gategutt;Gategutt
1141;2945;spesialkum;Spesialkum
1141;2946;spesialkumPrefabrikkert;Spesialkum, prefabrikkert
1141;2947;spesialkumPlasstøpt;Spesialkum plasstøpt
1141;2948;spesialkumMurt;Spesialkum, murt
1141;2949;spesialkumInfiltreringskum;Spesialkum, infiltreringskum
1141;5474;kumSprengtIFjell;Kum sprengt i fjell
5804;8199;statensVegvesen;Statens vegvesen
5804;8225;kommune;Kommune
5804;8251;privat;Privat
4566;5492;europaveg;Europaveg
4566;5493;riksveg;Riksveg
4566;5494;fylkesveg;Fylkesveg
4566;5495;kommunalVeg;Kommunal veg
4566;5496;privatVeg;Privat veg
4566;5497;skogsbilveg;Skogsbilveg
6981;9114;vann;Vann
6981;9115;landbruk;Landbruk
6981;15880;vollVanngjennomløp;Voll, vanngjennomløp
6981;9116;biologiskMangfold;Biologisk mangfold
7996;10262;stat;Stat
7996;10724;fylkeskommune;Fylkeskommune
7996;10326;kommune;Kommune
7996;10390;privat;Privat
6982;9117;bunnplate;Bunnplate
6982;9118;sålefundament;Sålefundament
6982;9119;fjellfot;Fjellfot
6982;9120;grus;Grus
6982;9121;pukk;Pukk
6982;9122;leire;Leire
6982;9123;stedligeMasser;Stedlige masser
10223;16700;ja;Ja
10223;16701;nei;Nei
1923;3531;ja;Ja
1923;3569;nei;Nei
6983;9125;betong;Betong
6983;9126;stål;Stål
6983;9127;plast;Plast
6983;9128;naturstein;Naturstein
6983;9124;tre;Tre
6983;9129;eternitt;Eternitt
6985;9135;prefabrikkert;Prefabrikkert
6985;17377;prefabrikkertNS3121;Prefabrikkert, NS3121
6985;17382;prefabrikkertIkkeNS3121;Prefabrikkert, ikke NS3121
6985;9137;plassprodusert;Plassprodusert
10766;17439;innvendigGlassfiberstrømpe;Innvendig glassfiberstrømpe
2049;3732;1;1
2049;3741;2;2
2049;3748;3;3
2049;3018;4;4
2049;3779;5;5
2049;3782;6;6
2049;3933;7;7
2049;3934;8;8
2049;3935;9;9
2049;3936;10;10
2049;3937;11;11
2049;3938;12;12
4562;5470;masserInnløp;Masser, innløp
4562;5471;masserUtløp;Masser, utløp
4562;5472;vegetasjonstettingInnløp;Vegetasjonstetting, innløp
4562;5473;vegetasjonstettingUtløp;Vegetasjonstetting, utløp
1941;3533;ja;Ja
1941;3571;nei;Nei
6984;9130;sirkulær;Sirkulær
6984;9131;rektangulær;Rektangulær
6984;9132;flatbunnetMedHvelv;Flatbunnet med hvelv
6984;9133;ellipseform;Ellipseform
1939;2925;kumOverStikkrenne;Kum over stikkrenne
