ft_attr;ftid;ptid;name
fme_feature_type;83;1141;type
fme_feature_type;83;1269;bruksområde
fme_feature_type;83;1411;materialtype
fme_feature_type;83;2290;lokkRistType
fme_feature_type;83;5816;eier
fme_feature_type;83;4784;posisjon
fme_feature_type;83;1586;dybde
fme_feature_type;83;1727;diameter
fme_feature_type;83;2289;diameterÅpning
fme_feature_type;83;2079;dybdeTilUtløp
fme_feature_type;83;5797;bredde1Firkantkum
fme_feature_type;83;5798;bredde2Firkantkum
fme_feature_type;83;2388;avstandFraVegkant
fme_feature_type;83;1946;stige
fme_feature_type;83;2294;harFlyteramme
fme_feature_type;83;10228;plassering
fme_feature_type;83;1947;antallHjelpesluker
fme_feature_type;83;1949;antallRørInn
fme_feature_type;83;8838;avløp
fme_feature_type;83;10227;kumskjerm
fme_feature_type;83;7065;byggeår
fme_feature_type;83;4594;dykker
fme_feature_type;83;10470;driftsmerking
fme_feature_type;83;1525;produktinformasjon
fme_feature_type;83;5804;vedlikeholdsansvarlig
fme_feature_type;83;2121;oppslammingstid
fme_feature_type;79;6981;bruksområde
fme_feature_type;79;6984;tverrsnittsform
fme_feature_type;79;4549;høydeInnvendig
fme_feature_type;79;4548;breddeInnvendig
fme_feature_type;79;1939;typeInnløp
fme_feature_type;79;1940;typeUtløp
fme_feature_type;79;1923;harInnløpsrist
fme_feature_type;79;7996;eier
fme_feature_type;79;6983;materialtype
fme_feature_type;79;5899;senterlinje
fme_feature_type;79;6980;navn
fme_feature_type;79;4556;byggeår
fme_feature_type;79;4562;spesielleProblem
fme_feature_type;79;1942;antallTininger
fme_feature_type;79;1941;tilknyttetLukkaDren
fme_feature_type;79;10223;gjennomløpForElvBekk
fme_feature_type;79;3111;produktinformasjon
fme_feature_type;79;6985;prefabrikkert
fme_feature_type;79;2049;retning
fme_feature_type;79;2123;vinkel
fme_feature_type;79;3113;diameterInnvendig
fme_feature_type;79;1323;lengde
fme_feature_type;79;3112;helningFall
fme_feature_type;79;10224;overfyllingInnløp
fme_feature_type;79;10225;overfyllingUtløp
fme_feature_type;79;3115;tykkelseOverfylling
fme_feature_type;79;10481;driftsmerking
fme_feature_type;79;6982;fundamentering
fme_feature_type;79;10766;rehabilitering
fme_feature_type;79;10771;tilleggsinformasjon
fme_feature_type;79;1832;varmekabler
fme_feature_type;79;8060;vedlikeholdsansvarlig
fme_feature_type;79;6979;høydePassasje
