ptid;enid;name
1272;2955;Belysning veg/gate
1272;2963;Belysning tunnel
1272;4910;Nødbelysning, tunnel
1272;3319;Belysning bru
1272;2957;Belysning område/plass
1272;16261;Belysning ferjeleie
1272;2959;Belysning vegkryss
1272;2953;Belysning gang/sykkelveg
1272;2961;Belysning gangfelt
1272;4908;Belysning, utstyr
1272;3856;Privat område
10003;16262;Stat
10003;16263;Fylkeskommune
10003;16264;Kommune
10003;16265;Privat
10006;16267;Ja
10006;16268;Nei
1874;2965;Lysmast
1874;2969;Mindre stolpe
1874;2970;Henger i tak/kabelstige
1874;2972;Festet til vegg/bygning
1874;2988;På portal
1874;3757;Henger i vaier
2078;3765;Jordkabel
2078;3766;Line
2078;3857;EX
1555;2142;Statens vegvesen
1555;2146;Kommune
1555;3717;Lokalt e-verk
1555;2150;Privat
1944;3046;Berg
1944;3048;Sprengt stein
1944;3596;Løsmasse
1944;13798;Kombinasjon løsmasse/berg
1944;3932;Myr
1139;3889;Dyp sidegrøft
1139;3890;Grunn sidegrøft
1139;17233;Filtergrøft
1139;2934;Terrenggrøft
1139;11627;Åpent avløp
8061;10455;Statens vegvesen
8061;10533;Kommune
8061;10611;Privat
1274;3024;Elektrisitet, høyspent
1274;3023;Elektrisitet, lavspent
1274;3022;Signalkabel
1274;3026;Jordleder
1274;15950;eKom, fiber
1274;3021;eKom, kobber
5811;8206;Stat
5811;10698;Fylkeskommune
5811;8232;Kommune
5811;8258;Privat
2023;3772;Trekkrør/kanal
2023;3774;Grøft
2023;3775;Kabelbro/stige
2023;3773;Luftspenn
2023;15883;Vann
2023;14040;Kulvert
2023;14042;Slisse
2023;14039;Borehull
2023;14041;Kabelbunt
1148;14503;2 par 0,22 YFSK
1148;14505;2 par 0,5 YFSK
1148;14471;2 par 0,6 PT HF (1x4) B1 150
1148;14470;2 par 0,6 PT HF (1x4) B2 350
1148;14476;2 par 0,6 PTS HF (1x4) B1 150
1148;14475;2 par 0,6 PTS HF (1x4) B2 350
1148;14467;2 par 0,6 PT-SK HF
1148;14501;2 par 0,8 BUS KABEL EIB LSZH
1148;14502;2 par 0,8 BUS KABEL EIB LSZH
1148;14504;4 par 0,22 YFSK
1148;14506;4 par 0,5 YFSK
1148;14472;4 par 0,6 PT HF B2 150
1148;14458;4 par 0,6 PT HF E4 750
1148;14477;4 par 0,6 PTS HF B2 130
1148;14462;4 par 0,6 PTS HF E4 750
1148;14468;4 par 0,6 PT-SK HF
1148;14473;6 par 0,6 PT HF B2 130
1148;14459;6 par 0,6 PT HF E4 500
1148;14478;6 par 0,6 PTS HF B2 130
1148;14463;6 par 0,6 PTS HF E4 500
1148;14474;10 par 0,6 PT HF B2 90
1148;14460;10 par 0,6 PT HF E4 350
1148;14479;10 par 0,6 PTS HF B2 90
1148;14464;10 par 0,6 PTS HF E4 350
1148;14469;10 par 0,6 PT-SK HF
1148;14461;20 par 0,6 PT HF E4 200
1148;14465;20 par 0,6 PTS HF E4 200
1148;14466;30 par 0,6 PTS Halogenfri
1148;14760;AXCLH-O 24KV LT 3X 25/16
1148;14761;AXCLH-O 24KV LT 3X 50/16
1148;14762;AXCLH-O 24KV LT 3X 95/16
1148;14351;BFOU (C) 250V  12x2x0.75 S4/S8 Grey
1148;14373;BFOU (C) 250V  12x2x1.5 S4/S8 Grey
1148;14353;BFOU (C) 250V  16x2x0.75 S4/S8 Grey
1148;14346;BFOU (C) 250V  2x2x0.75 S4/S8 Blue
1148;14345;BFOU (C) 250V  2x2x0.75 S4/S8 Grey
1148;14367;BFOU (C) 250V  2x2x1.5 S4/S8 Grey
1148;14348;BFOU (C) 250V  4x2x0.75 S4/S8 Blue
1148;14347;BFOU (C) 250V  4x2x0.75 S4/S8 Grey
1148;14369;BFOU (C) 250V  4x2x1.5 S4/S8 Grey
1148;14350;BFOU (C) 250V  8x2x0.75 S4/S8 Blue
1148;14349;BFOU (C) 250V  8x2x0.75 S4/S8 Grey
1148;14371;BFOU (C) 250V  8x2x1.5 S4/S8 Grey
1148;14352;BFOU (C) 250V 12x2x0.75 S4/S8 Blue
1148;14374;BFOU (C) 250V 12x2x1.5 S4/S8 Blue
1148;14364;BFOU (C) 250V 12x3x0.75 S4/S8 Blue
1148;14363;BFOU (C) 250V 12x3x0.75 S4/S8 Grey
