ft_attr;ftid;ptid;name
fme_feature_type;87;1272;bruksområde
fme_feature_type;87;2198;antall
fme_feature_type;87;1874;plassering
fme_feature_type;87;1883;avstandFraVegkant
fme_feature_type;87;2078;strømtilførselKategori
fme_feature_type;87;8744;strømtilførselTypeKabel
fme_feature_type;87;10006;overbelastningsvern
fme_feature_type;87;8745;fellesføringMedAnnenEtat
fme_feature_type;87;10005;fellesføringLeietaker
fme_feature_type;87;1488;tilleggsinformasjon
fme_feature_type;87;10003;eier
fme_feature_type;87;10004;eierNavn
fme_feature_type;87;1555;vedlikeholdsansvarlig
fme_feature_type;87;4787;posisjon
fme_feature_type;80;1139;type
fme_feature_type;80;1944;materiale
fme_feature_type;80;10304;byggeår
fme_feature_type;80;10674;tilleggsinformajson
fme_feature_type;80;8061;vedlikeholdsansvarlig
fme_feature_type;80;1658;dybde
fme_feature_type;80;1324;lengde
fme_feature_type;80;1934;breddeTopp
fme_feature_type;80;1929;breddeBunn
fme_feature_type;80;4781;senterlinje
fme_feature_type;92;1274;bruksområde
fme_feature_type;92;1148;typebetegnelse
fme_feature_type;92;2202;antall
fme_feature_type;92;9744;driftsmerking
fme_feature_type;92;1327;lengde
fme_feature_type;92;9746;lengdeKart
fme_feature_type;92;1293;farge
fme_feature_type;92;1531;produsentnavn
fme_feature_type;92;2023;framføringsveg
fme_feature_type;92;4076;driftsattår
fme_feature_type;92;9743;arkivnummer
fme_feature_type;92;9748;tilleggsinformasjon
fme_feature_type;92;5811;eier
fme_feature_type;92;9745;eierNavn
fme_feature_type;92;8062;vedlikeholdsansvarlig
fme_feature_type;92;4792;senterlinje
fme_feature_type;183;1191;type
fme_feature_type;183;9755;plassering
fme_feature_type;183;1339;lengde
fme_feature_type;183;1697;bredde
fme_feature_type;183;4063;installeringsår
fme_feature_type;183;9754;materiale
fme_feature_type;183;9753;driftsmerking
fme_feature_type;183;9751;produksjonsår
fme_feature_type;183;3656;produsentnavn
fme_feature_type;183;9756;produktnavn
fme_feature_type;183;8008;eier
fme_feature_type;183;9752;eierNavn
fme_feature_type;183;8076;vedlikeholdsansvarlig
fme_feature_type;183;4839;senterlinje
fme_feature_type;843;9577;dybde
fme_feature_type;843;9576;grunnforhold
fme_feature_type;843;9578;senterlinje
fme_feature_type;843;10314;byggeår
fme_feature_type;83;1141;type
fme_feature_type;83;1269;bruksområde
fme_feature_type;83;1411;materialtype
fme_feature_type;83;2290;lokkRistType
fme_feature_type;83;1727;diameter
fme_feature_type;83;2289;diameterÅpning
fme_feature_type;83;1586;dybde
fme_feature_type;83;2079;dybdeTilUtløp
fme_feature_type;83;5797;bredde1Firkantkum
fme_feature_type;83;5798;bredde2Firkantkum
fme_feature_type;83;2388;avstandFraVegkant
fme_feature_type;83;1946;stige
fme_feature_type;83;2294;harFlyteramme
fme_feature_type;83;10228;plassering
fme_feature_type;83;1949;antallRørInn
fme_feature_type;83;8838;avløp
fme_feature_type;83;4594;dykker
fme_feature_type;83;1947;antallHjelpesluker
fme_feature_type;83;10227;kumskjerm
fme_feature_type;83;7065;byggeår
fme_feature_type;83;10470;driftsmerking
fme_feature_type;83;1525;produktinformasjon
fme_feature_type;83;5816;eier
fme_feature_type;83;5804;vedlikeholdsansvarlig
fme_feature_type;83;2121;oppslammingstid
fme_feature_type;83;4784;posisjon
fme_feature_type;78;1268;type
fme_feature_type;78;1138;grunnforhold
fme_feature_type;78;10673;tilleggsinformasjon
fme_feature_type;78;1657;dybde
fme_feature_type;78;1831;varmekabler
fme_feature_type;78;9760;kabler
fme_feature_type;78;4779;senterlinje
fme_feature_type;78;10323;byggeår
fme_feature_type;77;1267;bruksområde
fme_feature_type;77;1410;materialtype
fme_feature_type;77;1724;diameterIndre
fme_feature_type;77;1677;tverrsnittform
fme_feature_type;77;1322;lengde
fme_feature_type;77;1967;elementlengde
fme_feature_type;77;1623;tykkelse
fme_feature_type;77;1755;helningFall
fme_feature_type;77;1292;farge
fme_feature_type;77;10350;leggeår
fme_feature_type;77;5821;eier
fme_feature_type;77;5806;vedlikeholdsansvarlig
fme_feature_type;77;1924;skjøtemetode
fme_feature_type;77;1483;produktinformasjon
fme_feature_type;77;4778;senterlinje
fme_feature_type;77;1922;harInnløpsrist
fme_feature_type;77;1927;rehabilitering
fme_feature_type;79;6981;bruksområde
fme_feature_type;79;6980;navn
fme_feature_type;79;4556;byggeår
fme_feature_type;79;3111;produktinformasjon
fme_feature_type;79;6983;materialtype
fme_feature_type;79;6985;prefabrikkert
fme_feature_type;79;6984;tverrsnittsform
fme_feature_type;79;2049;retning
fme_feature_type;79;2123;vinkel
fme_feature_type;79;1941;tilknyttetLukkaDren
fme_feature_type;79;10223;gjennomløpForElvBekk
fme_feature_type;79;1939;typeInnløp
