ftid;name
NVDB_FARTSGRENSE;Fartsgrense
NVDB_FUNKSJONELLVEGKLASSE;FunksjonellVegklasse
NVDB_GÅGATE;Gågatereguleringer
NVDB_HØYDEBEGRENSNING;Høydebegrensning
NVDB_INNKJØRINGFORBUDT;InnkjøringForbudt
NVDB_JERNBANEKRYSSING;Jernbanekryssing
NVDB_LANDBRUKSVEGKLASSE;Landbruksvegklasse
NVDB_SVINGERESTRIKSJON;Svingerestriksjon
NVDB_TRAFIKKREGULERINGER;Trafikkreguleringer
NVDB_VÆRUTSATTVEG;VærutsattVeg
NVDB_VEGSPERRING;Vegsperring
VEGLENKEADRESSE;Veglenkeadresse
VREF;Vegreferanse
ENDRINGSFLAGG;Endringsflagg
IDENT;Identifikasjon
KVALITET;Posisjonskvalitet
LRPOSISJON;LineærPosisjon
LRPUNKT;LineærPosisjonPunkt
LRSTREKNING;LineærPosisjonStrekning
