ptid;enid;name
3518;4816;Stat
3518;4815;Telenor
3779;4822;Radio
3779;4823;Radio, stråleantenne
3779;4821;Mobiltelefon
8106;10500;Statens vegvesen
8106;10578;Kommune
8106;10656;Privat
1272;2955;Belysning veg/gate
1272;2963;Belysning tunnel
1272;4910;Nødbelysning, tunnel
1272;3319;Belysning bru
1272;2957;Belysning område/plass
1272;16261;Belysning ferjeleie
1272;2959;Belysning vegkryss
1272;2953;Belysning gang/sykkelveg
1272;2961;Belysning gangfelt
1272;4908;Belysning, utstyr
1272;3856;Privat område
10003;16262;Stat
10003;16263;Fylkeskommune
10003;16264;Kommune
10003;16265;Privat
10006;16267;Ja
10006;16268;Nei
1874;2965;Lysmast
1874;2969;Mindre stolpe
1874;2970;Henger i tak/kabelstige
1874;2972;Festet til vegg/bygning
1874;2988;På portal
1874;3757;Henger i vaier
2078;3765;Jordkabel
2078;3766;Line
2078;3857;EX
1555;2142;Statens vegvesen
1555;2146;Kommune
1555;3717;Lokalt e-verk
1555;2150;Privat
1271;2954;Belysning veg/gate
1271;2956;Belysning område/plass
1271;2960;Belysning gangfelt
1271;2962;Belysning tunnel
1271;2952;Belysning gang/sykkelveg
1271;3318;Belysning bru
1271;16258;Belysning ferjeleie
1271;3855;Privat område
10001;16259;Ja
10001;16260;Nei
5810;8205;Stat
5810;10697;Fylkeskommune
5810;8231;Kommune
5810;8257;Privat
3760;4719;Ja
3760;4720;Nei
8404;11342;Manuell
8404;11343;Fotocelle
8404;11344;Ur
8404;11345;Signal
8404;11346;Kontaktor
8404;11347;Radiotenner
1144;3761;Bel.pkt en side av veg
1144;3762;Bel.pkt. begge sider av veg
1144;3764;Bel.pkt, senter
1144;3763;Bel.pkt, senter, 2-armet
1554;2141;Statens vegvesen
1554;2145;Kommune
1554;3716;Lokalt e-verk
1554;2149;Privat
5644;7935;Belysning i dagen
5644;7937;Bygning
5644;16305;Skilting
5644;16307;Trafikkregulering/overvåking
5644;7936;Tunnel
5644;16306;Pumper
5644;16309;Vifter
5644;16308;Utsmykking (broer etc)
10021;16312;NEK FEB 88
10021;16313;NEK FEB 91
10021;16311;NEK FEL 1998
10021;16310;NEK FEF 2006
10021;16314;Annet
10022;16315;NEK 400
10022;16316;NEK 400 : 2006
10022;16317;NEK 400 : 2010
10022;16318;NEK 440
10022;16319;NEK 445
10022;16320;NEK IEC 61936-1
