ft_attr;ftid;ptid;name
fme_feature_type;470;3779;type
fme_feature_type;470;4072;installeringsår
fme_feature_type;470;8106;vedlikeholdsansvarlig
fme_feature_type;470;10578;vedlikeholdsansvarligNavn
fme_feature_type;470;3874;høyde
fme_feature_type;470;4987;posisjon
fme_feature_type;470;10579;senterlinje
fme_feature_type;470;3518;eier
fme_feature_type;87;1272;bruksområde
fme_feature_type;87;2198;antall
fme_feature_type;87;1874;plassering
fme_feature_type;87;1883;avstandFraVegkant
fme_feature_type;87;2078;strømtilførselKategori
fme_feature_type;87;8744;strømtilførselTypeKabel
fme_feature_type;87;10006;overbelastningsvern
fme_feature_type;87;8745;fellesføringMedAnnenEtat
fme_feature_type;87;10005;fellesføringLeietaker
fme_feature_type;87;1488;tilleggsinformasjon
fme_feature_type;87;10003;eier
fme_feature_type;87;10004;eierNavn
fme_feature_type;87;1555;vedlikeholdsansvarlig
fme_feature_type;87;4787;posisjon
fme_feature_type;86;1271;bruksområde
fme_feature_type;86;1144;type
fme_feature_type;86;8396;navnPåStrekning
fme_feature_type;86;8399;byggeår
fme_feature_type;86;8404;tenningssystem
fme_feature_type;86;10001;dimming
fme_feature_type;86;3760;fjernstyring
fme_feature_type;86;1714;avstandInnbyrdes
fme_feature_type;86;8740;luminansnivå
fme_feature_type;86;5810;eier
fme_feature_type;86;8397;eierNavn
fme_feature_type;86;1554;vedlikeholdsansvarlig
fme_feature_type;86;4786;senterlinje
fme_feature_type;461;10075;anleggsnummer
fme_feature_type;461;5644;bruksområde
fme_feature_type;461;5640;kundenummer
fme_feature_type;461;5641;målernummer
fme_feature_type;461;5642;målepunktID
fme_feature_type;461;10026;eier
fme_feature_type;461;10028;fjernavlesing
fme_feature_type;461;10031;inngårINødsystemet
fme_feature_type;461;10032;jordelektrode
fme_feature_type;461;10033;jordfeilbryter
fme_feature_type;461;10034;jordfeilvarsling
fme_feature_type;461;10035;målingType
fme_feature_type;461;5639;nettselskap
fme_feature_type;461;10029;nettsystem
fme_feature_type;461;10039;tilleggsinformasjon
fme_feature_type;461;10022;byggetEtterNorm
fme_feature_type;461;7908;plasseringMåler
fme_feature_type;461;10024;driftsmerking
fme_feature_type;461;10038;spenning
fme_feature_type;461;10021;byggetEtterForskrift
fme_feature_type;461;5646;merknad
fme_feature_type;461;10023;driftsattår
fme_feature_type;461;10025;effekt
fme_feature_type;461;10027;eierNavn
fme_feature_type;461;10030;integrertMed
fme_feature_type;461;8099;vedlikeholdsansvarlig
fme_feature_type;461;4978;posisjon
fme_feature_type;453;3903;type
fme_feature_type;453;10286;byggeår
fme_feature_type;453;4971;posisjon
fme_feature_type;453;8924;senterlinje
fme_feature_type;81;5634;egennavn
fme_feature_type;81;1968;beskrivelse
fme_feature_type;81;5635;lengdeGjenlegging
fme_feature_type;81;5636;vedlikeholdsansvarlig
fme_feature_type;81;10287;byggeår
fme_feature_type;81;4782;posisjon
fme_feature_type;81;8918;senterlinje
fme_feature_type;860;9899;typeLyskilde
fme_feature_type;860;9890;antallEvakueringslyspunkt
fme_feature_type;860;10185;antallLyskilderIPunkt
fme_feature_type;860;9891;avstandInnbyrdes
fme_feature_type;860;9892;driftsattår
fme_feature_type;860;9903;fjernstyring
fme_feature_type;860;9900;produktnavn
fme_feature_type;860;9901;produsentnavn
fme_feature_type;860;9895;effekt
fme_feature_type;860;9894;driftsstrøm
fme_feature_type;860;9902;spenning
fme_feature_type;860;9896;eier
fme_feature_type;860;9897;eierNavn
fme_feature_type;860;9906;vedlikeholdsansvarlig
fme_feature_type;860;9898;senterlinje
fme_feature_type;80;1139;type
fme_feature_type;80;1944;materiale
fme_feature_type;80;10304;byggeår
fme_feature_type;80;10674;tilleggsinformajson
fme_feature_type;80;8061;vedlikeholdsansvarlig
fme_feature_type;80;1658;dybde
fme_feature_type;80;1324;lengde
fme_feature_type;80;1934;breddeTopp
fme_feature_type;80;1929;breddeBunn
fme_feature_type;80;4781;senterlinje
fme_feature_type;209;10466;driftsmerking
fme_feature_type;209;10307;oppsettingsår
fme_feature_type;209;8011;eier
fme_feature_type;209;8078;vedlikeholdsansvarlig
fme_feature_type;209;3875;kapasitet
fme_feature_type;209;4849;posisjon
fme_feature_type;209;3736;plassering
fme_feature_type;92;1274;bruksområde
fme_feature_type;92;1148;typebetegnelse
fme_feature_type;92;2202;antall
fme_feature_type;92;9744;driftsmerking
fme_feature_type;92;1327;lengde
fme_feature_type;92;9746;lengdeKart
fme_feature_type;92;1293;farge
fme_feature_type;92;1531;produsentnavn
fme_feature_type;92;2023;framføringsveg
fme_feature_type;92;4076;driftsattår
fme_feature_type;92;9743;arkivnummer
fme_feature_type;92;9748;tilleggsinformasjon
fme_feature_type;92;5811;eier
fme_feature_type;92;9745;eierNavn
fme_feature_type;92;8062;vedlikeholdsansvarlig
fme_feature_type;92;4792;senterlinje
fme_feature_type;183;1191;type
fme_feature_type;183;9755;plassering
fme_feature_type;183;1339;lengde
fme_feature_type;183;1697;bredde
fme_feature_type;183;4063;installeringsår
fme_feature_type;183;9754;materiale
fme_feature_type;183;9753;driftsmerking
fme_feature_type;183;9751;produksjonsår
fme_feature_type;183;3656;produsentnavn
fme_feature_type;183;9756;produktnavn
fme_feature_type;183;8008;eier
fme_feature_type;183;9752;eierNavn
fme_feature_type;183;8076;vedlikeholdsansvarlig
fme_feature_type;183;4839;senterlinje
fme_feature_type;843;9577;dybde
fme_feature_type;843;9576;grunnforhold
fme_feature_type;843;9578;senterlinje
fme_feature_type;843;10314;byggeår
fme_feature_type;83;1141;type
fme_feature_type;83;1269;bruksområde
fme_feature_type;83;1411;materialtype
fme_feature_type;83;2290;lokkRistType
fme_feature_type;83;1727;diameter
fme_feature_type;83;2289;diameterÅpning
fme_feature_type;83;1586;dybde
fme_feature_type;83;2079;dybdeTilUtløp
fme_feature_type;83;5797;bredde1Firkantkum
fme_feature_type;83;5798;bredde2Firkantkum
fme_feature_type;83;2388;avstandFraVegkant
fme_feature_type;83;1946;stige
fme_feature_type;83;2294;harFlyteramme
fme_feature_type;83;10228;plassering
fme_feature_type;83;1949;antallRørInn
fme_feature_type;83;8838;avløp
fme_feature_type;83;4594;dykker
fme_feature_type;83;1947;antallHjelpesluker
fme_feature_type;83;10227;kumskjerm
fme_feature_type;83;7065;byggeår
fme_feature_type;83;10470;driftsmerking
fme_feature_type;83;1525;produktinformasjon
fme_feature_type;83;5816;eier
fme_feature_type;83;5804;vedlikeholdsansvarlig
fme_feature_type;83;2121;oppslammingstid
fme_feature_type;83;4784;posisjon
fme_feature_type;861;9917;lyskildeType
fme_feature_type;861;9923;plassering
fme_feature_type;861;9916;inngårINødsystemetITunnel
fme_feature_type;861;9907;antallLedelyspunkt
fme_feature_type;861;9909;driftsattår
fme_feature_type;861;9908;avstandInnbyrdes
fme_feature_type;861;9921;fjernstyring
fme_feature_type;861;9912;effekt
fme_feature_type;861;9920;spenning
fme_feature_type;861;9911;driftsstrøm
fme_feature_type;861;9918;produktnavn
fme_feature_type;861;9919;produsentnavn
fme_feature_type;861;9913;eier
fme_feature_type;861;9914;eierNavn
fme_feature_type;861;9924;vedlikeholdsansvarlig
fme_feature_type;861;9915;senterlinje
fme_feature_type;78;1268;type
fme_feature_type;78;1138;grunnforhold
fme_feature_type;78;10673;tilleggsinformasjon
fme_feature_type;78;1657;dybde
fme_feature_type;78;1831;varmekabler
fme_feature_type;78;9760;kabler
fme_feature_type;78;4779;senterlinje
fme_feature_type;78;10323;byggeår
fme_feature_type;88;2077;lyskildeType
fme_feature_type;88;10008;driftsmerking
fme_feature_type;88;10007;driftsattår
fme_feature_type;88;2054;høydeOverVeg
fme_feature_type;88;1955;antallLyskilderPerArmatur
fme_feature_type;88;2199;antallArmaturerIBelysningspkt
fme_feature_type;88;1951;effekt
fme_feature_type;88;10012;inngårINødsystemet
fme_feature_type;88;1451;produktnavnArmatur
fme_feature_type;88;1529;produsentnavnArmatur
fme_feature_type;88;9558;produsentnavnDriver
fme_feature_type;88;9557;produsentnavnLyskilde
fme_feature_type;88;9563;optikk
fme_feature_type;88;9567;konstantLysutbytte
fme_feature_type;88;8402;dimming
fme_feature_type;88;10014;utystyrsklasse
fme_feature_type;88;9562;driftsstrømUdimmet
fme_feature_type;88;10011;lysflux
fme_feature_type;88;9561;lEDAntallDioder
fme_feature_type;88;9560;lEDEffektPerStkTest
fme_feature_type;88;3884;avskjermingType
fme_feature_type;88;9559;lEDEffektArmaturTotaltTest
