ptid;enid;name;fullname
3518;4816;stat;Stat
3518;4815;telenor;Telenor
3518;17593;uavklart;Uavklart
3779;4822;radio;Radio
3779;4823;radioStråleantenne;Radio, stråleantenne
3779;4821;mobiltelefon;Mobiltelefon
8106;10500;statensVegvesen;Statens vegvesen
8106;10578;kommune;Kommune
8106;10656;privat;Privat
8106;17747;uavklart;Uavklart
5540;7876;anlegg;Anlegg
5540;7877;vedlikehold;Vedlikehold
5483;7450;glassfiber;Glassfiber
5483;7451;stål;Stål
5483;7452;plast;Plast
8118;10512;statensVegvesen;Statens vegvesen
8118;10590;kommune;Kommune
8118;10668;privat;Privat
8118;17756;uavklart;Uavklart
9993;16234;ja;Ja
9993;16235;nei;Nei
4162;5135;noeHøyVerdi;Noe høy verdi
4162;5134;høyVerdi;Høy verdi
4162;5133;sværtHøyVerdi;Svært høy verdi
4163;5136;ja;Ja
4163;5137;måUtføresSkånsomt;Må utføres skånsomt
4163;5138;nei;Nei
9992;16231;1TidligKlipp;1 tidlig klipp
9992;16232;1SeinKlipp;1 sein klipp
9992;16233;2Klipp;2 klipp
9990;16221;alle;Alle
9990;16222;asfaltkantsone;Asfaltkantsone
9990;16223;midtsone;Midtsone
9990;16224;grøft;Grøft
9990;16225;bakkantsone;Bakkantsone
9990;16226;bakkantsoneOgGrøft;Bakkantsone og grøft
9991;16228;ja;Ja
9991;16229;nei;Nei
9989;16217;tørrengvegkant;Tørrengvegkant
9989;16218;friskFuktigHøgstaudeVegkant;Frisk-fuktig/ høgstaude vegkant
9989;16219;nordligAlpinVegkant;Nordlig/alpin vegkant
9989;16220;fuktengVåtengVegkant;Fukteng-våteng vegkant
9989;16254;annenTypeVegkant;Annen type vegkant
9370;13097;strekningMedATKPunkter;Strekning med ATK-punkter
9370;13098;strekningsATK;Streknings-ATK
9521;13448;stat;Stat
9521;17620;uavklart;Uavklart
9525;13444;dR410;DR 410
9525;13445;axspeed;Axspeed
9527;13446;medMetreringsretning;Med metreringsretning
9527;13447;motMetreringsretning;Mot metreringsretning
1256;3164;bolig;Bolig
1256;3165;hytte;Hytte
1256;3166;gardsbruk;Gardsbruk
1256;3167;dyrkamarkJordbruk;Dyrkamark/jordbruk
1256;3168;skogSkogbruk;Skog/skogbruk
1256;3169;forretning;Forretning
1256;3170;industri;Industri
1256;3171;service;Service
1256;3172;skole;Skole
1256;3173;fritidsaktivitet;Fritidsaktivitet
1256;3174;naust;Naust
1828;3598;ok;Ok
1828;3607;tiltaksbehov;Tiltaksbehov
7993;10259;stat;Stat
7993;10721;fylkeskommune;Fylkeskommune
7993;10323;kommune;Kommune
7993;10387;privat;Privat
7993;17576;uavklart;Uavklart
1824;3175;12leiligheter;1-2leiligheter
1824;3176;35Leiligheter;3-5 leiligheter
1824;3177;610Leiligheter;6-10 leiligheter
1824;3178;10Leiligheter;> 10 leiligheter
1824;3179;12Hytter;1-2 hytter
1824;3180;35Hytter;3-5 hytter
1824;3181;5Hytter;> 5 hytter
1824;3182;1GardsbrukIDrift;1 gardsbruk i drift
1824;3183;23GardsbrukIDrift;2-3 gardsbruk i drift
1824;3184;nedlagtGardsbruk;Nedlagt gardsbruk
1824;3185;jordGrustak;Jord/grustak
1824;3186;tømmeropplagringVelteplass;Tømmeropplagring/velteplass
1824;3187;grustakSteinbrudd;Grustak/steinbrudd
1824;3188;litenForretning;Liten forretning
1824;3189;middelsLandhandel;Middels landhandel
1824;3190;stortForretningssenter;Stort forretningssenter
1824;3191;kioskGatekjøkken;Kiosk/gatekjøkken
1824;3192;hotell50Plasser;Hotell < 50 plasser
1824;3193;hotell50Plasser;Hotell > 50 plasser
1824;3194;bensinstasjonBilverksted;Bensinstasjon, bilverksted
1824;3195;sykehus50Plasser;Sykehus < 50 plasser
1824;3196;sykehus50Plasser;Sykehus > 50 plasser
1824;3197;utfartsplassSkitrekk;Utfartsplass, skitrekk
1824;3198;fritidKino;Fritid, kino
1824;3199;lekeplassLøkke;Lekeplass/løkke
10670;17225;varig;Varig
10670;17224;midlertidig;Midlertidig
10670;17227;endretBruk;Endret bruk
10670;17226;utvidetBruk;Utvidet bruk
8056;10450;statensVegvesen;Statens vegvesen
8056;10528;kommune;Kommune
8056;10606;privat;Privat
8056;17709;uavklart;Uavklart
9320;13009;megetStreng;Meget streng
9320;13010;streng;Streng
9320;13011;mindreStreng;Mindre streng
9320;13012;liteStreng;Lite streng
2250;4622;skjønn;Skjønn
2250;4623;målt;Målt
1283;7941;rensebasseng;Rensebasseng
1283;17034;rensebassengSedimentasjon;Rensebasseng, sedimentasjon
1283;17035;rensebassengInfiltrasjon;Rensebasseng, infiltrasjon
1283;17036;rensebassengVåtmark;Rensebasseng, våtmark
1283;7943;oppsamlingAvForurensning;Oppsamling av forurensning
1283;7942;fordrøyningsbasseng;Fordrøyningsbasseng
1283;17037;vannmagasin;Vannmagasin
1283;7944;pumpesump;Pumpesump
10452;16907;betongbunn;Betongbunn
10452;16908;bunntettingLeire;Bunntetting leire
