ptid;enid;name;fullname
3518;4816;;Stat
3518;4815;;Telenor
3518;17593;;Uavklart
3779;4822;;Radio
3779;4823;;Radio, stråleantenne
3779;4821;;Mobiltelefon
8106;10500;;Statens vegvesen
8106;10578;;Kommune
8106;10656;;Privat
8106;17747;;Uavklart
5540;7876;;Anlegg
5540;7877;;Vedlikehold
5483;7450;g;Glassfiber
5483;7451;s;Stål
5483;7452;p;Plast
8118;10512;;Statens vegvesen
8118;10590;;Kommune
8118;10668;;Privat
8118;17756;;Uavklart
9993;16234;;Ja
9993;16235;;Nei
4162;5135;;Noe høy verdi
4162;5134;;Høy verdi
4162;5133;;Svært høy verdi
4163;5137;;Utføres etter særskilt beskrivelse
4163;5138;;Utføres som avtalt i driftskontrakt
9992;16231;;Skal bare ha slått 1
9992;16232;;Skal bare ha slått 2
9992;16233;;Skal ha slått 1 og 2
9992;17887;;Følger ordinær kantklipp i kontrakt
9992;17888;;Klipp i hht egen skjøtselsplan
9990;16221;;Alle
9990;16222;;Asfaltkantsone
9990;16223;;Midtsone
9990;16224;;Grøft
9990;16225;;Bakkantsone
9990;16226;;Bakkantsone og grøft
9991;16228;;Ja
9991;16229;;Nei
9989;16217;;Tørrengvegkant
9989;16218;;Frisk-fuktig/ høgstaude vegkant
9989;16219;;Nordlig/alpin vegkant
9989;16220;;Fukteng-våteng vegkant
9989;16254;;Annen type vegkant
9370;13097;;Strekning med ATK-punkter
9370;13098;;Streknings-ATK
9521;13448;;Stat
9521;17620;;Uavklart
9525;13444;;DR 410
9525;13445;;Axspeed
9527;13446;;Med metreringsretning
9527;13447;;Mot metreringsretning
1256;3164;;Bolig
1256;3165;;Hytte
1256;3166;;Gardsbruk
1256;3167;;Dyrkamark/jordbruk
1256;3168;;Skog/skogbruk
1256;3169;;Forretning
1256;3170;;Industri
1256;3171;;Service
1256;3172;;Skole
1256;3173;;Fritidsaktivitet
1256;3174;;Naust
1828;3598;;Ok
1828;3607;;Tiltaksbehov
7993;10259;;Stat
7993;10721;;Fylkeskommune
7993;10323;;Kommune
7993;10387;;Privat
7993;17576;;Uavklart
1824;3175;;1-2leiligheter
1824;3176;;3-5 leiligheter
1824;3177;;6-10 leiligheter
1824;3178;;> 10 leiligheter
1824;3179;;1-2 hytter
1824;3180;;3-5 hytter
1824;3181;;> 5 hytter
1824;3182;;1 gardsbruk i drift
1824;3183;;2-3 gardsbruk i drift
