ftid;name
470;Antenne
609;Armeringsnett
517;ArtsrikVegkant
775;ATKInfluensstrekning
162;ATKPunkt
46;Avkjørsel
815;AvkjørselHoldningsklasse
791;Avrettingslag
335;Avstandsmåling
208;BassengMagasin
87;Belysningspunkt
86;Belysningsstrekning
72;Bergsikring
71;Betongutstøping
274;Blomsterbeplantning
45;Bomstasjon
478;Branndetektor
474;Brannslokkingsanlegg
213;Brannslokningsapparat
475;Brannvarslingsanlegg
293;Breddemåling
450;BreddeutvidelseKryss
60;Bru
871;Bruksklasse
893;Bruksklasse12100Spesialtransport
894;Bruksklasse12100Spesialtransport
891;Bruksklasse1265MobilkranMM
892;Bruksklasse1265MobilkranMMUoffis
889;BruksklasseModulvogntog
890;BruksklasseModulvogntogUoffisiel
104;Bruksklasse
857;Brøyterode
21;Brøytestikk
511;Busker
771;Byggegrense
65;Bygning
226;Bærelag
811;Dataanalyse
521;Dekketilstandsmåling
167;Detektor
446;Dokumentasjon
273;Dyresperre
809;Døgnhvileplass
461;ElektriskAnlegg
453;ElektrostatiskRensesløyfe
81;ElvBekkGjenlagt
608;Entreprenør
860;Evakueringslysstrekning
845;Fanggjerde
780;FarligeForhold
103;Fartsdemper
105;Fartsgrense
721;FartsgrenseVariabel
624;Fartstavle
872;Faunapassasje
884;Feierode
444;FeilLogg
616;Feltstrekning
22;Ferist
64;Ferjeleie
41;Ferjeoppstillingsplass
770;Ferjesamband
807;Ferjestrekning
59;Fiberduk
613;Filterlag
147;Fjellrom
833;Forbikjøringsstrekning
819;Fordelingstavle
596;Forkjørsveg
227;Forsterkningslag
48;Fortau
458;Fotocelle
800;FremmedeArter
765;Friksjonsforbedring
626;Friksjonsmåleserie
526;Friksjonsmåling
229;Frostsikringslag
821;FunksjonellVegklasse
535;Fylke
137;Fylling
783;FysiskInngrepIVannforekomst
575;FysiskTiltak
835;Gangadkomst
174;Gangfelt
215;Gassmåler
538;Gate
812;Gatevarme
7;Gjerde
855;Gjerdeport
15;Grasdekker
574;Grunnkrets
80;GrøftÅpen
832;Grøfteklasse
508;Grøntanlegg
813;Gågate
751;Holdeplass
487;Holdeplassutrustning
209;Hydrant
82;Hydraveg
591;Høydebegrensning
462;Høydemåler
113;Høydemåling
610;Høydevarsler
606;InnkjøringForbudt
803;Inspeksjonsluke
100;Jernbanekryssing
523;JevnhetsTeksturmåling
525;JevnhetsmålingAvledaPr20M
799;JordvollMotFjellskjæring
92;Kabel
183;KabelbruStige
843;Kabelgrøft
897;Kalksementpeler
163;KameraOvervåkning
301;Kantklippareal
9;Kantstein
20;KantstolperRefleks
784;KjemiskPåvirkningAvVannforekomst
881;Klimaanlegg
42;Kollektivknutepunkt
319;Kolonnestrekning
297;Kommentar
536;Kommune
779;Kommunedele
460;Kondensmåler
580;Kontraktsområde
44;KontrollVeieplass
504;KryssingsmulighetÅpning
83;Kum
19;KunstUtsmykking
639;KurvaturHorisontalelement
825;KurvaturStigning
640;KurvaturVertikalelement
642;KurvaturVertikalpunkt
641;Kurvaturgenerering
822;Landbruksvegklasse
598;Landskapsbelastning
599;Landskapsproblemnivå
600;Landskapsverdi
861;LedelysstrekningOptisk
26;Lekeapparat
578;Lensmannsdistrikt
