ptid;enid;name
3518;4816;Stat
3518;4815;Telenor
3779;4822;Radio
3779;4823;Radio, stråleantenne
3779;4821;Mobiltelefon
8106;10500;Statens vegvesen
8106;10578;Kommune
8106;10656;Privat
5540;7876;Anlegg
5540;7877;Vedlikehold
5483;7450;Glassfiber
5483;7451;Stål
5483;7452;Plast
8118;10512;Statens vegvesen
8118;10590;Kommune
8118;10668;Privat
1283;7941;Rensebasseng
1283;17034;Rensebasseng, sedimentasjon
1283;17035;Rensebasseng, infiltrasjon
1283;17036;Rensebasseng, våtmark
1283;7943;Oppsamling av forurensning
1283;7942;Fordrøyningsbasseng
1283;17037;Vannmagasin
1283;7944;Pumpesump
10452;16907;Betongbunn
10452;16908;Bunntetting leire
10452;16909;Bunntetting membran
10452;17012;Berg
8010;10276;Stat
8010;10738;Fylkeskommune
8010;10340;Kommune
8010;10404;Privat
10685;17278;Stedlige masser
10685;17279;Tilførte masser
10451;16904;Hovedbasseng
10451;16905;Forbasseng
10455;16916;Dykket
10455;16917;Åpen
10456;16918;Ja
10456;16919;Nei
10454;16914;Ja
10454;16915;Nei
10457;16920;Dykket
10457;16921;Åpen
8077;10471;Statens vegvesen
8077;10549;Kommune
8077;10627;Privat
1272;2955;Belysning veg/gate
1272;2963;Belysning tunnel
1272;4910;Nødbelysning, tunnel
1272;3319;Belysning bru
1272;2957;Belysning område/plass
1272;16261;Belysning ferjeleie
1272;2959;Belysning vegkryss
1272;2953;Belysning gang/sykkelveg
1272;2961;Belysning gangfelt
1272;4908;Belysning, utstyr
1272;3856;Privat område
10003;16262;Stat
10003;16263;Fylkeskommune
10003;16264;Kommune
10003;16265;Privat
10006;16267;Ja
10006;16268;Nei
1874;2965;Lysmast
1874;2969;Mindre stolpe
1874;2970;Henger i tak/kabelstige
1874;2972;Festet til vegg/bygning
1874;2988;På portal
1874;3757;Henger i vaier
2078;3765;Jordkabel
2078;3766;Line
2078;3857;EX
1555;2142;Statens vegvesen
1555;2146;Kommune
1555;3717;Lokalt e-verk
1555;2150;Privat
9675;13942;Hjullaster
9675;13943;Gravemaskin
9675;13944;Til fots
9675;13945;Kran
9675;13946;Tau
9675;13947;Helikopter
9676;13948;Stat
9676;13949;Fylkeskommune
9676;13950;Kommune
9676;13951;Privat
1651;3295;Tunnel, hele profilet
1651;3297;Tunnel, heng og vegger
1651;3299;Tunnel, heng
1651;3303;Tunnel, såle
