ft_attr;ftid;ptid;name
fme_feature_type;470;3779;type
fme_feature_type;470;4072;installeringsår
fme_feature_type;470;3874;høyde
fme_feature_type;470;4987;posisjon
fme_feature_type;609;5483;materialtype
fme_feature_type;609;7036;breddeGjennomsnitt
fme_feature_type;609;5544;utleggingsdato
fme_feature_type;609;8751;plassering
fme_feature_type;609;10266;byggeår
fme_feature_type;609;6906;senterlinje
fme_feature_type;791;8748;materialtype
fme_feature_type;791;8749;steinstørrelse
fme_feature_type;791;10408;byggeår
fme_feature_type;791;8874;senterlinje
fme_feature_type;208;1283;bruksområde
fme_feature_type;208;1378;areal
fme_feature_type;208;1394;volum
fme_feature_type;208;10268;byggeår
fme_feature_type;208;8881;område
fme_feature_type;87;1272;bruksområde
fme_feature_type;87;1874;plassering
fme_feature_type;87;4787;posisjon
fme_feature_type;72;1133;type
fme_feature_type;72;1368;areal
fme_feature_type;72;1989;antallBolterAnker
fme_feature_type;72;5296;lengde
fme_feature_type;72;9166;typeSprøytbetong
fme_feature_type;72;9673;høydeOverVeg
fme_feature_type;72;1651;plassering
fme_feature_type;72;9674;wiredimensjon
fme_feature_type;72;9167;byggeår
fme_feature_type;72;4774;senterlinje
fme_feature_type;71;1318;lengde
fme_feature_type;71;1620;tykkelse
fme_feature_type;71;1650;posisjon
fme_feature_type;71;10269;byggeår
fme_feature_type;71;4773;senterlinje
fme_feature_type;274;4130;type
fme_feature_type;274;1383;areal
fme_feature_type;274;7555;norskNavn
fme_feature_type;274;7556;botaniskNavn
fme_feature_type;274;10270;plantetidspunkt
fme_feature_type;274;4881;senterlinje
fme_feature_type;274;8891;område
fme_feature_type;45;9390;bomstasjonstype
fme_feature_type;45;10271;etableringsår
fme_feature_type;45;4752;posisjon
fme_feature_type;478;3774;type
fme_feature_type;478;10272;oppsettingsår
fme_feature_type;478;10078;posisjon
fme_feature_type;474;3777;type
fme_feature_type;474;5485;lengde
fme_feature_type;474;10274;byggeår
fme_feature_type;474;10079;senterlinje
fme_feature_type;213;1206;type
fme_feature_type;213;4021;kapasitet
fme_feature_type;213;3739;plasseringITekniskRom
fme_feature_type;213;10273;oppsettingsår
fme_feature_type;213;4853;posisjon
fme_feature_type;475;10275;byggeår
fme_feature_type;475;4992;posisjon
fme_feature_type;511;4131;type
fme_feature_type;511;4144;areal
fme_feature_type;511;4139;antall
fme_feature_type;511;4498;norskNavn
fme_feature_type;511;4499;botaniskNavn
fme_feature_type;511;10280;plantetidspunkt
fme_feature_type;511;8892;område
fme_feature_type;65;1266;bruksområde
fme_feature_type;65;9261;plassering
fme_feature_type;65;1366;arealGrunnflate
fme_feature_type;65;1407;materialtype
fme_feature_type;65;1603;overflatebehandling
fme_feature_type;65;10281;byggeår
fme_feature_type;65;9433;senterlinje
fme_feature_type;226;1630;tykkelse
fme_feature_type;226;1211;type
fme_feature_type;226;8742;lagtype
fme_feature_type;226;5531;steinstørrelse
fme_feature_type;226;5142;leggedato
fme_feature_type;226;4860;senterlinje
fme_feature_type;167;3513;bruksområde
fme_feature_type;167;1183;type
fme_feature_type;167;3876;lengde
fme_feature_type;167;3849;bredde
fme_feature_type;167;10283;oppsettingsår
fme_feature_type;167;4833;posisjon
fme_feature_type;461;5644;bruksområde
fme_feature_type;461;10028;fjernavlesing
fme_feature_type;461;10032;jordelektrode
fme_feature_type;461;10033;jordfeilbryter
fme_feature_type;461;10034;jordfeilvarsling
fme_feature_type;461;5639;nettselskap
fme_feature_type;461;10029;nettsystem
fme_feature_type;461;7908;plasseringMåler
fme_feature_type;461;10038;spenning
fme_feature_type;461;10023;driftsattår
fme_feature_type;461;10025;effekt
fme_feature_type;461;4978;posisjon
fme_feature_type;453;3903;type
fme_feature_type;453;10286;byggeår
fme_feature_type;453;8924;senterlinje
fme_feature_type;860;9899;typeLyskilde
fme_feature_type;860;9890;antallEvakueringslyspunkt
fme_feature_type;860;9892;driftsattår
fme_feature_type;860;9895;effekt
fme_feature_type;860;9898;senterlinje
fme_feature_type;845;9597;lengde
fme_feature_type;845;9598;høyde
fme_feature_type;845;9600;gjennomsnittligAvstandFraVeg
fme_feature_type;845;9601;helningsvinkelGjerde
fme_feature_type;845;9602;adkomst
fme_feature_type;845;9606;byggeår
fme_feature_type;845;9604;senterlinje
fme_feature_type;103;1156;type
fme_feature_type;103;8799;profil
fme_feature_type;103;8798;materialeBelegning
fme_feature_type;103;10288;byggeår
fme_feature_type;103;4801;posisjon
fme_feature_type;22;1104;type
fme_feature_type;22;1737;passeringVFerist
fme_feature_type;22;4595;vinterforberedelse
fme_feature_type;22;10290;byggeår
fme_feature_type;22;9425;senterlinje
fme_feature_type;41;2081;antallOppstillingsfelt
fme_feature_type;41;1806;antallOppstillingsplSmåKjt
fme_feature_type;41;1804;ferjeTil
fme_feature_type;41;10292;byggeår
fme_feature_type;41;4748;posisjon
fme_feature_type;41;1813;harParkeringsplass
fme_feature_type;59;5146;leggedato
fme_feature_type;59;1443;produktnavn
fme_feature_type;59;8750;plassering
fme_feature_type;59;5147;breddeGjennomsnitt
fme_feature_type;59;4762;senterlinje
fme_feature_type;147;1279;bruksområde
fme_feature_type;147;10293;byggeår
fme_feature_type;147;4822;posisjon
fme_feature_type;819;10052;antallKurser
fme_feature_type;819;10065;plassering
fme_feature_type;819;10069;varmeelement
fme_feature_type;819;10059;kjølingType
fme_feature_type;819;10060;overbelastningsvernStørrelse
fme_feature_type;819;10061;overbelastningsvernType
fme_feature_type;819;10062;overspenningsvernType
fme_feature_type;819;10053;driftsattår
fme_feature_type;819;9328;posisjon
fme_feature_type;227;1631;tykkelse
fme_feature_type;227;1212;type
fme_feature_type;227;5543;utleggingsdato
fme_feature_type;227;4861;senterlinje
fme_feature_type;48;2241;breddeGjSnitt
fme_feature_type;48;10295;byggeår
fme_feature_type;48;5637;belegning
fme_feature_type;48;4755;senterlinje
fme_feature_type;48;1830;varmekabler
fme_feature_type;458;10296;oppsettingsår
fme_feature_type;458;4975;posisjon
fme_feature_type;229;1633;tykkelse
fme_feature_type;229;1214;type
fme_feature_type;229;7034;breddeGjennomsnitt
fme_feature_type;229;5145;leggedato
fme_feature_type;229;4863;senterlinje
fme_feature_type;137;1166;type
fme_feature_type;137;10298;byggeår
fme_feature_type;137;4817;senterlinje
fme_feature_type;174;7904;stedsangivelse
fme_feature_type;174;8738;markeringAvStriper
fme_feature_type;174;8739;hevet
fme_feature_type;174;2128;nedsenketKantstein
fme_feature_type;174;8736;belegningType
fme_feature_type;174;10300;etableringsår
fme_feature_type;174;9434;senterlinje
fme_feature_type;215;1465;produktnavn
fme_feature_type;215;1208;type
fme_feature_type;215;4068;installeringsår
fme_feature_type;215;4855;posisjon
fme_feature_type;7;1575;høydeGjSnitt
fme_feature_type;7;1300;lengde
fme_feature_type;7;1249;bruksområde
fme_feature_type;7;1091;type
fme_feature_type;7;10301;byggeår
fme_feature_type;7;4716;senterlinje
fme_feature_type;7;1601;overflatebehandling
fme_feature_type;7;2105;typeStolpe
fme_feature_type;855;9778;materiale
fme_feature_type;855;9772;bredde
fme_feature_type;855;9777;høyde
fme_feature_type;855;9780;normalStilling
fme_feature_type;855;10302;byggeår
fme_feature_type;855;9776;posisjon
fme_feature_type;15;4129;type
fme_feature_type;15;1354;areal
fme_feature_type;15;10303;anleggsår
fme_feature_type;15;4723;senterlinje
fme_feature_type;80;1139;type
fme_feature_type;80;1944;materiale
fme_feature_type;80;10304;byggeår
fme_feature_type;80;1658;dybde
fme_feature_type;80;1324;lengde
fme_feature_type;80;4781;senterlinje
fme_feature_type;209;10307;oppsettingsår
fme_feature_type;209;3875;kapasitet
fme_feature_type;209;4849;posisjon
fme_feature_type;209;3736;plassering
fme_feature_type;462;3798;produktnavn
fme_feature_type;462;10309;oppsettingsår
fme_feature_type;462;4979;posisjon
fme_feature_type;610;10311;oppsettingsår
fme_feature_type;610;8043;eier
fme_feature_type;610;8119;vedlikeholdsansvarlig
fme_feature_type;610;6887;posisjon
fme_feature_type;803;9133;beskrivelse
fme_feature_type;803;9150;høyde
fme_feature_type;803;9151;bredde
fme_feature_type;803;10312;byggeår
fme_feature_type;803;9295;posisjon
fme_feature_type;92;1274;bruksområde
fme_feature_type;92;1148;typebetegnelse
fme_feature_type;92;2202;antall
fme_feature_type;92;1293;farge
fme_feature_type;92;2023;framføringsveg
fme_feature_type;92;4076;driftsattår
fme_feature_type;92;5811;eier
fme_feature_type;92;9745;eierNavn
fme_feature_type;92;4792;senterlinje
