ft_attr;ftid;ptid;name
fme_feature_type;470;3779;type
fme_feature_type;470;4072;installeringsår
fme_feature_type;470;3518;eier
fme_feature_type;470;8106;vedlikeholdsansvarlig
fme_feature_type;470;10578;vedlikeholdsansvarligNavn
fme_feature_type;470;3874;høyde
fme_feature_type;470;4987;posisjon
fme_feature_type;470;10579;senterlinje
fme_feature_type;609;5483;materialtype
fme_feature_type;609;5484;areal
fme_feature_type;609;7036;breddeGjennomsnitt
fme_feature_type;609;5544;utleggingsdato
fme_feature_type;609;8751;plassering
fme_feature_type;609;5540;budsjett
fme_feature_type;609;10266;byggeår
fme_feature_type;609;8118;vedlikeholdsansvarlig
fme_feature_type;609;6906;senterlinje
fme_feature_type;609;8898;område
fme_feature_type;791;8748;materialtype
fme_feature_type;791;8749;steinstørrelse
fme_feature_type;791;10408;byggeår
fme_feature_type;791;8874;senterlinje
fme_feature_type;208;1283;bruksområde
fme_feature_type;208;10451;hovedForbasseng
fme_feature_type;208;10452;bunn
fme_feature_type;208;1378;areal
fme_feature_type;208;10082;driftsmerking
fme_feature_type;208;10455;innløpsløsning
fme_feature_type;208;10457;utløpsløsning
fme_feature_type;208;1394;volum
fme_feature_type;208;1660;vanndybdeNormal
fme_feature_type;208;3850;dybdeTilOverløp
fme_feature_type;208;10685;filtermasser
fme_feature_type;208;10454;slukkevann
fme_feature_type;208;10456;oljeutskilling
fme_feature_type;208;10268;byggeår
fme_feature_type;208;10460;tilleggsinformasjon
fme_feature_type;208;8010;eier
fme_feature_type;208;8077;vedlikeholdsansvarlig
fme_feature_type;208;4848;posisjon
fme_feature_type;208;8881;område
fme_feature_type;87;1272;bruksområde
fme_feature_type;87;2198;antall
fme_feature_type;87;1874;plassering
fme_feature_type;87;1883;avstandFraVegkant
fme_feature_type;87;2078;strømtilførselKategori
fme_feature_type;87;8744;strømtilførselTypeKabel
fme_feature_type;87;10006;overbelastningsvern
fme_feature_type;87;8745;fellesføringMedAnnenEtat
fme_feature_type;87;10005;fellesføringLeietaker
fme_feature_type;87;1488;tilleggsinformasjon
fme_feature_type;87;10003;eier
fme_feature_type;87;10004;eierNavn
fme_feature_type;87;1555;vedlikeholdsansvarlig
fme_feature_type;87;4787;posisjon
fme_feature_type;72;1133;type
fme_feature_type;72;1368;areal
fme_feature_type;72;1989;antallBolterAnker
fme_feature_type;72;5296;lengde
fme_feature_type;72;9166;typeSprøytbetong
fme_feature_type;72;9673;høydeOverVeg
fme_feature_type;72;9330;tykkelseSprøytbetong
fme_feature_type;72;1651;plassering
fme_feature_type;72;9674;wiredimensjon
fme_feature_type;72;9167;byggeår
fme_feature_type;72;9675;adkomst
fme_feature_type;72;9877;tilleggsinformasjon
fme_feature_type;72;9676;eier
fme_feature_type;72;9677;vedlikeholdsansvarlig
fme_feature_type;72;4774;senterlinje
fme_feature_type;72;8877;område
fme_feature_type;71;1318;lengde
fme_feature_type;71;1620;tykkelse
fme_feature_type;71;9168;armering
fme_feature_type;71;1996;membran
fme_feature_type;71;1650;posisjon
fme_feature_type;71;10269;byggeår
fme_feature_type;71;4773;senterlinje
fme_feature_type;274;4130;type
fme_feature_type;274;1383;areal
fme_feature_type;274;7555;norskNavn
fme_feature_type;274;7556;botaniskNavn
fme_feature_type;274;9965;sortHerkomst
fme_feature_type;274;10270;plantetidspunkt
fme_feature_type;274;9966;tilleggsinformasjon
fme_feature_type;274;10564;sluttdatoForGarantitid
fme_feature_type;274;8783;vedlikeholdsansvarlig
fme_feature_type;274;4881;senterlinje
fme_feature_type;274;8891;område
fme_feature_type;45;9390;bomstasjonstype
fme_feature_type;45;10714;navnBompengeanleggFraCS
fme_feature_type;45;1078;navnBomstasjon
fme_feature_type;45;9413;vedtattTilÅr
fme_feature_type;45;10715;linkTilBomstasjon
fme_feature_type;45;9414;innkrevningsretning
fme_feature_type;45;9596;bompengeanleggId
fme_feature_type;45;9595;bomstasjonId
fme_feature_type;45;1820;takstLitenBil
fme_feature_type;45;1819;takstStorBil
fme_feature_type;45;9409;tidsdifferensiertTakst
fme_feature_type;45;9412;timesregel
fme_feature_type;45;9404;gratisGjennomkjøringVedHCBrikke
fme_feature_type;45;10271;etableringsår
fme_feature_type;45;7992;eier
fme_feature_type;45;5799;vedlikeholdsansvarlig
fme_feature_type;45;4752;posisjon
fme_feature_type;478;3774;type
fme_feature_type;478;10139;driftsmerking
fme_feature_type;478;10272;oppsettingsår
fme_feature_type;478;8035;eier
fme_feature_type;478;8110;vedlikeholdsansvarlig
fme_feature_type;478;10078;posisjon
fme_feature_type;478;4994;senterlinje
fme_feature_type;474;3777;type
fme_feature_type;474;5485;lengde
fme_feature_type;474;10274;byggeår
fme_feature_type;474;8033;eier
fme_feature_type;474;8108;vedlikeholdsansvarlig
fme_feature_type;474;10079;senterlinje
fme_feature_type;474;4991;posisjon
fme_feature_type;213;1206;type
fme_feature_type;213;4021;kapasitet
fme_feature_type;213;3739;plasseringITekniskRom
fme_feature_type;213;10273;oppsettingsår
fme_feature_type;213;4853;posisjon
fme_feature_type;475;10275;byggeår
fme_feature_type;475;8034;eier
fme_feature_type;475;8109;vedlikeholdsansvarlig
fme_feature_type;475;4992;posisjon
fme_feature_type;450;3119;bredde
fme_feature_type;450;10277;byggeår
fme_feature_type;450;4968;senterlinje
fme_feature_type;511;4131;type
fme_feature_type;511;4144;areal
fme_feature_type;511;4139;antall
fme_feature_type;511;4157;løvfellendeVintergrønne
fme_feature_type;511;4159;høydeGjSnitt
fme_feature_type;511;4498;norskNavn
fme_feature_type;511;4499;botaniskNavn
fme_feature_type;511;9967;sortHerkomst
fme_feature_type;511;10186;tilleggsinformasjon
fme_feature_type;511;4505;vedlikeholdsansvarlig
fme_feature_type;511;10280;plantetidspunkt
fme_feature_type;511;10563;sluttdatoForGarantitid
fme_feature_type;511;10726;posisjon
fme_feature_type;511;5013;senterlinje
fme_feature_type;511;8892;område
fme_feature_type;511;4506;planteomgivelser
fme_feature_type;65;1266;bruksområde
fme_feature_type;65;9261;plassering
fme_feature_type;65;1366;arealGrunnflate
fme_feature_type;65;1407;materialtype
fme_feature_type;65;1974;taktype
fme_feature_type;65;9258;antallRom
fme_feature_type;65;9259;antallDører
fme_feature_type;65;1603;overflatebehandling
fme_feature_type;65;1547;eier
fme_feature_type;65;9149;vedlikeholdsansvarlig
fme_feature_type;65;1562;vedlikeholdsavtale
fme_feature_type;65;5662;merknad
fme_feature_type;65;10281;byggeår
fme_feature_type;65;4767;posisjon
fme_feature_type;65;9433;senterlinje
fme_feature_type;65;9340;område
fme_feature_type;226;5144;budsjett
fme_feature_type;226;1630;tykkelse
fme_feature_type;226;1211;type
fme_feature_type;226;8742;lagtype
fme_feature_type;226;5531;steinstørrelse
fme_feature_type;226;5533;modifisertBindemiddel
fme_feature_type;226;5142;leggedato
fme_feature_type;226;5547;merknad
fme_feature_type;226;5143;breddeGjennomsnitt
fme_feature_type;226;5150;forbruk
fme_feature_type;226;4860;senterlinje
fme_feature_type;226;8882;område
fme_feature_type;167;3513;bruksområde
fme_feature_type;167;1183;type
fme_feature_type;167;7981;detektornummer
fme_feature_type;167;7982;feltbeskrivelse
fme_feature_type;167;3876;lengde
fme_feature_type;167;3849;bredde
fme_feature_type;167;1375;areal
fme_feature_type;167;10283;oppsettingsår
fme_feature_type;167;4833;posisjon
fme_feature_type;461;10075;anleggsnummer
fme_feature_type;461;5644;bruksområde
fme_feature_type;461;5640;kundenummer
fme_feature_type;461;5641;målernummer
fme_feature_type;461;5642;målepunktID
fme_feature_type;461;10026;eier
fme_feature_type;461;10028;fjernavlesing
fme_feature_type;461;10031;inngårINødsystemet
fme_feature_type;461;10032;jordelektrode
fme_feature_type;461;10033;jordfeilbryter
fme_feature_type;461;10034;jordfeilvarsling
fme_feature_type;461;10035;målingType
fme_feature_type;461;5639;nettselskap
fme_feature_type;461;10029;nettsystem
fme_feature_type;461;10039;tilleggsinformasjon
fme_feature_type;461;10022;byggetEtterNorm
fme_feature_type;461;7908;plasseringMåler
fme_feature_type;461;10024;driftsmerking
fme_feature_type;461;10038;spenning
fme_feature_type;461;10021;byggetEtterForskrift
fme_feature_type;461;5646;merknad
fme_feature_type;461;10023;driftsattår
fme_feature_type;461;10025;effekt
fme_feature_type;461;10027;eierNavn
fme_feature_type;461;10030;integrertMed
fme_feature_type;461;8099;vedlikeholdsansvarlig
fme_feature_type;461;4978;posisjon
fme_feature_type;453;3903;type
fme_feature_type;453;10286;byggeår
