ptid;enid;name
6981;9114;Vann
6981;9115;Landbruk
6981;15880;Voll, vanngjennomløp
6981;9116;Biologisk mangfold
7996;10262;Stat
7996;10724;Fylkeskommune
7996;10326;Kommune
7996;10390;Privat
10223;16700;Ja
10223;16701;Nei
1923;3531;Ja
1923;3531;Ja, i forkant
1923;3569;Nei
6983;9125;Betong
6983;9126;Stål
6983;9127;Plast
6983;9128;Naturstein
6983;9124;Tre
6983;9129;Eternitt
4562;5470;Masser, innløp
4562;5471;Masser, utløp
4562;5472;Vegetasjonstetting, innløp
4562;5473;Vegetasjonstetting, utløp
1941;3533;Ja
1941;3571;Nei
6984;9130;Sirkulær
6984;9131;Rektangulær
6984;9132;Flatbunnet med hvelv
6984;9133;Ellipseform
1939;2925;Kum over stikkrenne
1939;11744;Åpent i grøft
1939;16699;Åpent med frontmur
1939;16761;Åpent i grøft med støtteskjold
1940;2927;Kum
1940;2928;I skråning/terreng
1940;2929;I bekk/elv
1940;11655;Åpen grøft
2361;4254;Bilde
2361;4255;Tegning
2361;10076;Dokument
2361;10077;Video
7596;9890;Ok
7596;9891;Tiltaksbehov
7596;9892;Mangler
7596;9893;Funksjonell
7594;9880;Skiftes
7594;9881;Fjernes
7594;9882;Utbedres på stedet
7594;9896;Ryddes
7595;9883;Straks
7595;9884;14 dager
7595;9885;3 mnd
7595;9886;1 år
7595;9887;1-2 år
7595;9888;> 2år
7595;9889;på sikt
